07/25/2023   07:51:47  AM|THEFT|2XX  PUUHALE RD|KALIHI|District 5
07/25/2023   07:50:40  AM|VEH TOWED|HAYDEN ST / CAMPBELL AVE|KAPAHULU|District 7
07/25/2023   07:49:56  AM|AUTO THEFT|7XX  KIHAPAI PL|KAILUA|District 4
07/25/2023   07:46:06  AM|TRESPASS WARN|14XX  ALA MOANA BLVD|ALA MOANA|District 1
07/25/2023   07:39:44  AM|PARKING VIOLATION|KAHOALOHA LN / KUILEI ST|MCCULLY|District 7
07/25/2023   07:35:53  AM|RUNAWAY CXL|9110XX  KEKUILANI LOOP|KAPOLEI|District 8
07/25/2023   07:31:35  AM|TRAFFIC COMPLAINT|PANEE ST / KAUMOLI ST|PEARL CITY|District 3
07/25/2023   07:30:49  AM|SUSP CIRCUMSTANCE|8901XX  FARRINGTON HWY|NANAKULI|District 8
07/25/2023   07:26:22  AM|VEH TOWED|6XX  COOLIDGE ST|MCCULLY|District 7
07/25/2023   07:21:32  AM|UEMV|4507XX  APUAKEA ST|KANEOHE|District 4
07/25/2023   07:03:18  AM|AUTO THEFT|7XX  KINALAU PL|HONOLULU|District 1
07/25/2023   06:51:09  AM|MVC|1XX  H1E FWY|AIEA|District 3
07/25/2023   06:00:15  AM|OVERDUE RENTAL VEH|12XX  S KING ST|HONOLULU|District 1
07/25/2023   05:53:44  AM|BURGLARY VEH CXL|ALA MOANA BLVD / PUNCHBOWL ST|DOWNTOWN|District 1
07/25/2023   05:20:04  AM|UEMV|4602XX  KAHUHIPA ST|KANEOHE|District 4
07/25/2023   04:50:21  AM|WARRANT ARREST|8600XX  LEIHOKU ST|WAIANAE|District 8
07/25/2023   01:19:17  AM|AGGRAVATED ASSAULT|9121XX  FORT WEAVER RD|EWA BEACH|District 8
