07/25/2023   09:56:02  AM|FOLLOW UP|30XX  WAIALAE AVE|KAIMUKI|District 7
07/25/2023   09:55:45  AM|MVC|9402XX  FARRINGTON HWY|WAIPAHU|District 3
07/25/2023   09:55:29  AM|PARKING VIOLATION|14XX  LILIHA ST|KALIHI|District 5
07/25/2023   09:54:51  AM|VEH TOWED|KEEAUMOKU ST / LEILOKE DR|MAKIKI|District 1
07/25/2023   09:53:35  AM|TRAFFIC INCIDENT|4604XX  HULUPALA PL|KANEOHE|District 4
07/25/2023   09:45:26  AM|ARGUMENT|5400XX  HAUULA HMSTD RD|HAUULA|District 4
07/25/2023   09:42:27  AM|AUTO THEFT|9405XX  KUPUOHI ST|WAIPAHU|District 3
07/25/2023   09:42:00  AM|THEFT|13XX  PALI HWY|DOWNTOWN|District 1
07/25/2023   09:41:26  AM|AUTO THEFT RECOVERY|FORT WEAVER RD / KIMOPELEKANE RD|EWA BEACH|District 8
07/25/2023   09:40:46  AM|TRESPASS|9106XX  FARRINGTON HWY|KAPOLEI|District 8
07/25/2023   09:40:21  AM|MVC|8718XX  FARRINGTON HWY|NANAKULI|District 8
07/25/2023   09:35:40  AM|MISC PUB|9111XX  KANELA ST|EWA BEACH|District 8
07/25/2023   09:29:40  AM|WARRANT ARREST|S BERETANIA ST / WARD AVE|HONOLULU|District 1
07/25/2023   09:27:48  AM|FIRE CALL|9202XX  FARRINGTON HWY|NANAKULI|District 8
07/25/2023   09:27:45  AM|VEH TOWED|4605XX  KAM HWY|KANEOHE|District 4
07/25/2023   09:26:11  AM|MISC SERVICE CALL|6XX  POHUKAINA ST|HONOLULU|District 1
07/25/2023   09:25:10  AM|AUTO THEFT|2XX  KUULEI RD|KAILUA|District 4
07/25/2023   08:59:15  AM|MISC SERVICE CALL|7XX  S KING ST|HONOLULU|District 1
07/25/2023   08:52:28  AM|VEH TOWED|11XX  PALAMA ST|KALIHI|District 5
07/25/2023   08:38:41  AM|ROBBERY|23XX  KALIHI ST|KALIHI|District 5
