07/29/2023   08:13:00  AM|TRESPASS|22XX  KALAKAUA AVE|WAIKIKI|District 6
07/29/2023   08:12:32  AM|WARRANT ARREST|S KING ST / ALAPAI ST|HONOLULU|District 1
07/29/2023   08:09:34  AM|MVC|2XX  MOKAUEA ST|KALIHI|District 5
07/29/2023   08:08:59  AM|MISC SERVICE CALL|12XX  QUEEN EMMA ST|DOWNTOWN|District 1
07/29/2023   08:04:41  AM|FOLLOW UP|14XX  S KING ST|HONOLULU|District 1
07/29/2023   07:59:54  AM|MISC SERVICE CALL|13XX  VICTORIA ST|HONOLULU|District 1
07/29/2023   07:58:26  AM|NUISANCE COMPLAINT|12XX  ALA MOANA BLVD|ALA MOANA|District 1
07/29/2023   07:55:42  AM|AUTO THEFT|5300XX  POKIWAI PL|PUNALUU|District 4
07/29/2023   07:55:28  AM|THEFT|5905XX  KE IKI RD|SUNSET|District 2
07/29/2023   07:54:58  AM|DEFIB CALL|1XX  WILIKINA DR|WAHIAWA|District 2
07/29/2023   07:50:49  AM|PARKING VIOLATION|5XX  KAMOKU ST|MCCULLY|District 7
07/29/2023   07:42:59  AM|UNATTENDED DEATH|14XX  HOOHAKU ST|PEARL CITY|District 3
07/29/2023   07:27:20  AM|ANIMAL NOISE|9401XX  PUPUPUHI ST|WAIPAHU|District 3
07/29/2023   06:48:15  AM|VEH TOWED|16XX  KAPIOLANI BLVD|ALA MOANA|District 1
07/29/2023   06:22:54  AM|UNATTENDED DEATH|28XX  KAIHIKAPU ST|MAPUNAPUNA|District 5
07/29/2023   06:16:50  AM|FAMILY OFF/NEG|4XX  FARRINGTON HWY|KAPOLEI|District 8
