08/03/2023   23:57:11  PM|THEFT|4XX  KAPAHULU AVE|KAPAHULU|District 7
08/03/2023   23:55:32  PM|FAMILY OFF/NEG|5XX  SOUTH ST|HONOLULU|District 1
08/03/2023   23:54:23  PM|NOISE COMPLAINT|9407XX  UKEE ST|WAIPIO|District 3
08/03/2023   23:54:01  PM|SUSP CIRCUMSTANCE|5XX  KEAWE ST|HONOLULU|District 1
08/03/2023   23:52:20  PM|NOISE COMPLAINT|9411XX  LANIKUHANA AVE|MILILANI|District 2
08/03/2023   23:51:31  PM|MISC SERVICE CALL|15XX  ALA PUUMALU|SALT LAKE|District 5
08/03/2023   23:45:04  PM|MVC|N NIMITZ HWY / CATLIN DR|AIRPORT|District 5
08/03/2023   23:38:49  PM|MISC CRIME OFFENSE|10XX  ALOHIKEA ST|KAPOLEI|District 8
08/03/2023   23:30:50  PM|MVC|4501XX  POPOKI ST|KANEOHE|District 4
08/03/2023   23:23:55  PM|NUISANCE COMPLAINT|5603XX  KAM HWY|LAIE|District 4
08/03/2023   23:17:43  PM|AUTO THEFT RECOVERY|29XX  MOANALUA RD|MOANALUA V|District 5
08/03/2023   23:12:31  PM|MISC CRIME OFFENSE|13XX  MAKIKI ST|HONOLULU|District 1
08/03/2023   23:02:07  PM|FAMILY OFF/NEG|32XX  PACIFIC HTS RD|PUNCHBOWL|District 1
08/03/2023   22:47:41  PM|DUI|9121XX  FORT WEAVER RD|EWA BEACH|District 8
08/03/2023   22:39:02  PM|DUI|H3E E HARANO TUNNEL|KANEOHE|District 4
08/03/2023   22:37:47  PM|ARGUMENT|2XX  WAI NANI WAY|WAIKIKI|District 6
08/03/2023   22:31:35  PM|DUI|KEOLU DR / HAMAKUA DR|KAILUA|District 4
08/03/2023   21:27:38  PM|AUTO THEFT RECOVERY|16XX  ALA MOANA BLVD|WAIKIKI|District 6
08/03/2023   21:13:45  PM|MVC|5106XX  KAM HWY|KAAAWA|District 4
08/03/2023   19:07:36  PM|MISC PUB|27XX  KALAKAUA AVE|WAIKIKI|District 6
