08/05/2023   10:13:26  AM|DISORDERLY CONDUCT|KALAKAUA AVE / ULUNIU AVE|WAIKIKI|District 6
08/05/2023   10:13:03  AM|ARGUMENT|21XX  BOOTH RD|PUNCHBOWL|District 1
08/05/2023   10:13:00  AM|UEMV|4702XX  MIOMIO LOOP|KANEOHE|District 4
08/05/2023   10:10:53  AM|MISC SERVICE CALL|14XX  S KING ST|HONOLULU|District 1
08/05/2023   10:10:48  AM|PARKING VIOLATION|6XX  KULIOUOU RD|AINA HAINA|District 7
08/05/2023   10:09:50  AM|MISC PUB|5303XX  KAM HWY|PUNALUU|District 4
08/05/2023   10:08:33  AM|FAMILY OFF/NEG|8602XX  FARRINGTON HWY|WAIANAE|District 8
08/05/2023   10:07:42  AM|PARKING VIOLATION|5400XX  HAUKOI PL|HAUULA|District 4
08/05/2023   10:07:27  AM|SUSP CIRCUMSTANCE|8701XX  MALIONA ST|MAILI|District 8
08/05/2023   10:05:04  AM|PARKING VIOLATION|53XX  LIKINI ST|SALT LAKE|District 5
08/05/2023   09:59:35  AM|VEH TOWED|5906XX  KAM HWY|SUNSET|District 2
08/05/2023   09:58:08  AM|MISC SERVICE CALL|9405XX  HIAHIA LOOP|WAIPAHU|District 3
08/05/2023   09:57:32  AM|ARGUMENT|7XX  MAHIAI ST|MCCULLY|District 7
08/05/2023   09:53:27  AM|COUNTERFEIT/FORGERY|9410XX  LEIHAKU ST|WAIPIO|District 3
08/05/2023   09:12:38  AM|AUTO THEFT RECOVERY|9412XX  KUNIA RD|KUNIA|District 2
08/05/2023   07:03:35  AM|WARRANT ARREST|10XX  LUAPELE DR|AIEA|District 3
08/05/2023   06:53:09  AM|ORDER VIOLATION|5500XX  NAUPAKA ST|LAIE|District 4
