08/05/2023   11:43:16  AM|BURGLARY|9901XX  PUAKALA ST|AIEA|District 3
08/05/2023   11:42:38  AM|PARKING VIOLATION|32XX  ALA ILIMA|SALT LAKE|District 5
08/05/2023   11:42:30  AM|FOLLOW UP|7XX  KEEAUMOKU ST|HONOLULU|District 1
08/05/2023   11:36:54  AM|PROPERTY DAMAGE|1XX  N BERETANIA ST|DOWNTOWN|District 1
08/05/2023   11:35:42  AM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
08/05/2023   11:33:06  AM|MISC SERVICE CALL|27XX  KILIHAU ST|MAPUNAPUNA|District 5
08/05/2023   11:32:33  AM|NUISANCE COMPLAINT|9408XX  LANIKUHANA AVE|MILILANI|District 2
08/05/2023   11:32:16  AM|ARGUMENT FAMILY|5XX  FARRINGTON HWY|KAPOLEI|District 8
08/05/2023   11:28:01  AM|MISC PUB|XX  N HOTEL ST|DOWNTOWN|District 1
08/05/2023   11:27:29  AM|STALLED/HAZARD VEH|XX  H1W FWY|KUNIA|District 8
08/05/2023   11:26:13  AM|MISC SERVICE CALL|7XX  KALOLINA PL|KAILUA|District 4
08/05/2023   11:10:04  AM|THREATENING|17XX  ALA WAI BLVD|WAIKIKI|District 6
08/05/2023   11:06:54  AM|AUTO THEFT|52XX  IROQUOIS AVE|IROQUOIS|District 8
08/05/2023   10:54:45  AM|FAMILY OFF/NEG|9114XX  KAMAHOI ST|EWA BEACH|District 8
08/05/2023   10:53:46  AM|VEH TOWED|9XX  MOKULUA DR|KAILUA|District 4
08/05/2023   10:49:22  AM|WARRANT ARREST|1XX  S KAM HWY|WAHIAWA|District 2
08/05/2023   10:48:30  AM|THEFT|6602XX  KAM HWY|HALEIWA|District 2
08/05/2023   10:33:05  AM|FAMILY OFF/NEG|6807XX  FARRINGTON HWY|WAIALUA|District 2
08/05/2023   10:26:21  AM|WARRANT ARREST|10XX  RIVER ST|DOWNTOWN|District 1
08/05/2023   10:13:26  AM|DISORDERLY CONDUCT|KALAKAUA AVE / ULUNIU AVE|WAIKIKI|District 6
