08/10/2023   14:13:06  PM|WARRANT ARREST|5906XX  KAM HWY|SUNSET|District 2
08/10/2023   14:11:45  PM|MVC|9165XX  KAPOLEI PKWY|EWA BEACH|District 8
08/10/2023   14:10:21  PM|MVC|MAUNAWILI ES DRIVEWAY|KAILUA|District 4
08/10/2023   14:09:36  PM|FOLLOW UP|X ARIZONA MEMORIAL DR|JB PEARL|District 3
08/10/2023   14:08:37  PM|MVC|10XX  LUAWAI ST|KAIMUKI|District 7
08/10/2023   14:06:12  PM|MISC PUB|2XX  LEWERS ST|WAIKIKI|District 6
08/10/2023   13:59:02  PM|UEMV|82XX  KALANIANAOLE HWY|HAWAII KAI|District 7
08/10/2023   13:56:01  PM|DRUGS/NARCOTICS|9109XX  NORTH RD|EWA BEACH|District 8
08/10/2023   13:41:57  PM|THEFT|12XX  S BERETANIA ST|HONOLULU|District 1
08/10/2023   13:23:46  PM|MISC PUB|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
08/10/2023   13:21:38  PM|MISC CRIME OFFENSE|17XX  MOANI ST|KALIHI|District 5
08/10/2023   12:57:31  PM|MISC SERVICE CALL|8408XX  LAHAINA ST|MAKAHA|District 8
08/10/2023   12:30:08  PM|RUNAWAY CXL|8508XX  FARRINGTON HWY|WAIANAE|District 8
08/10/2023   12:28:17  PM|UNATTENDED DEATH|17XX  DOLE ST|MANOA|District 7
08/10/2023   11:55:51  AM|UNATTENDED DEATH|14XX  WARD AVE|PUNCHBOWL|District 1
08/10/2023   08:50:44  AM|FOLLOW UP|9110XX  KUIPUAKUKUI ST|KAPOLEI|District 8
08/10/2023   07:40:38  AM|MISC PUB|HAWAII KAI DR / KALALEA ST|HAWAII KAI|District 7
