08/11/2023   20:12:39  PM|HAZARDOUS DRIVER|KAM HWY / PLANTATION RD|WAHIAWA|District 2
08/11/2023   20:09:36  PM|ARGUMENT FAMILY|25XX  S BERETANIA ST|MCCULLY|District 7
08/11/2023   20:08:04  PM|MISC PUB|4510XX  KAM HWY|KANEOHE|District 4
08/11/2023   20:01:23  PM|NOISE COMPLAINT|1XX  PAOA PL|FT DERUSSY|District 6
08/11/2023   19:55:02  PM|MISC PUB|9109XX  PUAMAEOLE ST|EWA BEACH|District 8
08/11/2023   19:39:12  PM|THEFT|8702XX  HALEMALUHIA PL|MAILI|District 8
08/11/2023   19:23:48  PM|FOLLOW UP|8513XX  KAMAILEUNU ST|WAIANAE|District 8
08/11/2023   19:19:01  PM|MISC CRIME OFFENSE|4XX  NAHUA ST|WAIKIKI|District 6
08/11/2023   18:45:04  PM|MISC SERVICE CALL|4600XX  KAWA ST|KANEOHE|District 4
08/11/2023   18:42:49  PM|UNATTENDED DEATH|9406XX  UKEE ST|WAIPIO|District 3
08/11/2023   18:39:35  PM|MISC PUB|4XX  KAMOKILA BLVD|KAPOLEI|District 8
08/11/2023   16:20:57  PM|MVC VEH TOWED|N VINEYARD BLVD / AALA ST|DOWNTOWN|District 1
08/11/2023   16:03:04  PM|FRAUD|7XX  9TH AVE|KAIMUKI|District 7
08/11/2023   15:57:51  PM|MISC SERVICE CALL|32XX  BROKAW ST|KAPAHULU|District 7
