08/12/2023   18:11:03  PM|UEMV|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
08/12/2023   18:07:16  PM|ARGUMENT FAMILY|2XX  KALIHI ST|KALIHI|District 5
08/12/2023   18:05:50  PM|TRESPASS|4XX  KUWILI ST|KALIHI|District 5
08/12/2023   18:05:11  PM|THEFT|4XX  ALAKAWA ST|KALIHI|District 5
08/12/2023   18:02:00  PM|SUSP VEH|MOEKAHI ST / LUALUALEI HMSTD RD|WAIANAE|District 8
08/12/2023   17:59:22  PM|THEFT|9XX  LOLENA ST|KALIHI|District 5
08/12/2023   17:58:29  PM|SUSP CIRCUMSTANCE|4602XX  KAHUHIPA ST|KANEOHE|District 4
08/12/2023   17:47:57  PM|MVC VEH TOWED|11XX  N NIMITZ HWY|KALIHI|District 5
08/12/2023   17:43:45  PM|AGGRAVATED ASSAULT|12XX  MAKIKI ST|HONOLULU|District 1
08/12/2023   17:42:21  PM|TRESPASS|14XX  ALA MOANA BLVD|ALA MOANA|District 1
08/12/2023   17:35:28  PM|WEAPONS|7XX  KAM HWY|PEARL CITY|District 3
08/12/2023   17:05:15  PM|MISC PUB|29XX  KALAKAUA AVE|WAIKIKI|District 6
08/12/2023   17:04:02  PM|AUTO THEFT RECOVERY|8601XX  FARRINGTON HWY|WAIANAE|District 8
08/12/2023   16:53:47  PM|FAMILY OFF/NEG|9120XX  KAIOLI ST|EWA BEACH|District 8
08/12/2023   16:13:01  PM|HARASSMENT|9510XX  AINAMAKUA DR|MILILANI|District 2
08/12/2023   12:42:09  PM|UNATTENDED DEATH|34XX  N NIMITZ HWY|AIRPORT|District 5
