08/14/2023   05:58:07  AM|STALLED/HAZARD VEH|1XX  H1E FWY|AIEA|District 3
08/14/2023   05:51:59  AM|MISC PUB|13XX  MATLOCK AVE|HONOLULU|District 1
08/14/2023   05:50:23  AM|THEFT|3XX  RODGERS BLVD|AIRPORT|District 5
08/14/2023   05:49:26  AM|TRESPASS|590620-5906XX  PUPUKEA RD|SUNSET|District 2
08/14/2023   05:48:09  AM|THEFT|450530-4505XX  MAHINUI RD|KANEOHE|District 4
08/14/2023   05:46:54  AM|TRESPASS|10XX  PIIKOI ST|HONOLULU|District 1
08/14/2023   05:46:18  AM|THEFT|4XX  WAIAKAMILO RD|KALIHI|District 5
08/14/2023   05:45:29  AM|THEFT|6204XX  KAM HWY|HALEIWA|District 2
08/14/2023   05:42:58  AM|MISC SERVICE CALL|18XX  WILIKINA DR|WAHIAWA|District 2
08/14/2023   05:17:06  AM|UEMV|YOUNG ST / AKOKO ST|HONOLULU|District 1
08/14/2023   04:30:31  AM|UNATTENDED DEATH|8601XX  FARRINGTON HWY|WAIANAE|District 8
08/14/2023   04:19:09  AM|SIMPLE ASSAULT|10XX  S KING ST|HONOLULU|District 1
08/14/2023   03:38:52  AM|UNATTENDED DEATH|3XX  ANONIA ST|AINA HAINA|District 7
08/14/2023   03:12:55  AM|MVC|5501XX  KULANUI LN|LAIE|District 4
