08/14/2023   14:27:43  PM|FAMILY OFF/NEG|X SAND ISLAND ACC RD|KALIHI|District 5
08/14/2023   14:27:21  PM|MISC PUB|9408XX  LUMIAUAU ST|WAIPIO|District 3
08/14/2023   14:24:28  PM|MVC|9510XX  MELEKOMO ST|MILILANI|District 2
08/14/2023   14:23:38  PM|TRESPASS WARN|5XX  QUEEN ST|HONOLULU|District 1
08/14/2023   14:23:13  PM|MISC SERVICE CALL|9905XX  AIEA HTS DR|AIEA|District 3
08/14/2023   14:21:50  PM|THREATENING|1XX  RANDOLPH ST|KALAELOA|District 8
08/14/2023   14:20:41  PM|NUISANCE COMPLAINT|8501XX  PLANTATION RD|WAIANAE|District 8
08/14/2023   14:17:42  PM|SUSP CIRCUMSTANCE|4600XX  KAWA ST|KANEOHE|District 4
08/14/2023   14:16:56  PM|TRESPASS|14XX  KAPIOLANI BLVD|ALA MOANA|District 1
08/14/2023   14:16:04  PM|PARKING VIOLATION|6800XX  AU ST|MOKULEIA|District 2
08/14/2023   14:14:35  PM|MEDICAL ASSIST|6801XX  AU ST|MOKULEIA|District 2
08/14/2023   14:07:05  PM|MISC SERVICE CALL|9500XX  KUAHELANI AVE|MILILANI|District 2
08/14/2023   14:04:46  PM|MISC PUB|4506XX  LULUKU RD|KANEOHE|District 4
08/14/2023   14:02:34  PM|MISC SERVICE CALL|9801XX  KAONOHI ST|AIEA|District 3
08/14/2023   13:57:52  PM|MISC CRIME OFFENSE|12XX  ELM ST|HONOLULU|District 1
08/14/2023   13:53:11  PM|THEFT|12XX  KEEAUMOKU ST|HONOLULU|District 1
08/14/2023   13:36:31  PM|PARKING VIOLATION|1XX  KAELEPULU DR|KAILUA|District 4
08/14/2023   13:13:57  PM|LIQUOR LAW|5XX  LUNALILO HOME RD|HAWAII KAI|District 7
08/14/2023   13:05:15  PM|TRAFFIC COMPLAINT|5XX  H3E FWY|KANEOHE|District 4
08/14/2023   12:23:25  PM|WARRANT ARREST|10XX  KAMOKILA BLVD|KAPOLEI|District 8
08/14/2023   12:15:33  PM|UNATTENDED DEATH|9111XX  KUHAIMOANA PL|EWA BEACH|District 8
08/14/2023   09:25:19  AM|DISORDERLY CONDUCT|9150XX  KAPOLEI PKWY|KAPOLEI|District 8
08/14/2023   09:02:03  AM|UNATTENDED DEATH|1XX  N HOTEL ST|DOWNTOWN|District 1
