08/17/2023   05:58:36  AM|MISC SERVICE CALL|4405XX  KANEOHE BAY DR|KANEOHE|District 4
08/17/2023   05:56:40  AM|PARKING VIOLATION|LIMA ST / KINO ST|KALIHI|District 5
08/17/2023   05:45:17  AM|THEFT|9109XX  FORT WEAVER RD|EWA BEACH|District 8
08/17/2023   05:43:48  AM|THEFT|20XX  KALIA RD|WAIKIKI|District 6
08/17/2023   05:43:40  AM|MISSING PERSON|9XX  HAHAIONE ST|HAWAII KAI|District 7
08/17/2023   05:43:00  AM|HARASSMENT|9114XX  HALAHUA ST|KAPOLEI|District 8
08/17/2023   05:42:06  AM|PROPERTY DAMAGE|42XX  WAIALAE AVE|WAIALAE|District 7
08/17/2023   05:41:29  AM|THEFT|3XX  ROYAL HAWAIIAN AVE|WAIKIKI|District 6
08/17/2023   05:40:39  AM|HARASSMENT|9XX  HUTTENBERG CT|HALE MOKU|District 5
08/17/2023   05:04:39  AM|ARGUMENT|3XX  SUMNER ST|KALIHI|District 5
08/17/2023   04:36:12  AM|UEMV|6XX  WAIPA LN|KALIHI|District 5
08/17/2023   04:25:19  AM|AUTO THEFT RECOVERY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
