08/19/2023   09:12:48  AM|MVC|7XX  N SCHOOL ST|NUUANU|District 5
08/19/2023   09:12:21  AM|SUSP CIRCUMSTANCE|23XX  ANIHINIHI ST|PEARL CITY|District 3
08/19/2023   09:11:54  AM|ANIMAL NOISE|9405XX  KIILANI ST|MILILANI|District 2
08/19/2023   09:11:08  AM|DROPPED CALL|8XX  HOOMOANA ST|PEARL CITY|District 3
08/19/2023   09:07:47  AM|HARASSMENT|8702XX  HELEUMA ST|MAILI|District 8
08/19/2023   09:04:40  AM|SUSP CIRCUMSTANCE|37XX  DIAMOND HEAD RD|KAHALA|District 7
08/19/2023   08:58:13  AM|SUSP CIRCUMSTANCE|4XX  MALAMALAMA ST|KAPOLEI|District 8
08/19/2023   08:53:53  AM|PARKING VIOLATION|9502XX  ALAALAA LOOP|MILILANI|District 2
08/19/2023   08:51:34  AM|NOISE COMPLAINT|15XX  PIIKOI ST|MAKIKI|District 1
08/19/2023   08:46:22  AM|ICF/SCF|12XX  AALA ST|DOWNTOWN|District 1
08/19/2023   08:44:48  AM|FRAUD|25XX  10TH AVE|KAIMUKI|District 7
08/19/2023   08:42:17  AM|PARKING VIOLATION|9110XX  KAUPEA ST|KAPOLEI|District 8
08/19/2023   08:41:43  AM|VEH TOWED|37XX  WAIALAE AVE|KAIMUKI|District 7
08/19/2023   08:37:32  AM|PARKING VIOLATION|9206XX  MAKAKILO DR|MAKAKILO|District 8
08/19/2023   07:47:04  AM|MISC SERVICE CALL|5602XX  HUEHU ST|KAHUKU|District 4
08/19/2023   07:44:26  AM|SUSP CIRCUMSTANCE|9110XX  SHANGRILA ST|KALAELOA|District 8
08/19/2023   06:33:14  AM|UNATTENDED DEATH|4602XX  KAHUHIPA ST|KANEOHE|District 4
08/19/2023   06:03:23  AM|MISC PUB|4XX  ENA RD|WAIKIKI|District 6
08/18/2023   22:43:26  PM|HOMICIDE|8701XX  MALIONA ST|MAILI|District 8
