08/24/2023   16:28:48  PM|AUTO THEFT|5XX  N NIMITZ HWY|KALIHI|District 5
08/24/2023   16:25:59  PM|THEFT|18XX  KALAKAUA AVE|WAIKIKI|District 6
08/24/2023   16:24:04  PM|VEH TOWED|10XX  KINAU ST|HONOLULU|District 1
08/24/2023   16:21:14  PM|THEFT|12XX  S BERETANIA ST|HONOLULU|District 1
08/24/2023   16:20:43  PM|MISC SERVICE CALL|9901XX  WAIPAO PL|AIEA|District 3
08/24/2023   16:17:18  PM|FOUND PROPERTY|12XX  ALA MOANA BLVD|ALA MOANA|District 1
08/24/2023   16:16:32  PM|FRAUD|41XX  WAIALAE AVE|KAIMUKI|District 7
08/24/2023   16:14:22  PM|FIRE CALL|16XX  PENSACOLA ST|MAKIKI|District 1
08/24/2023   16:12:38  PM|MVC|9XX  S BERETANIA ST|HONOLULU|District 1
08/24/2023   16:05:30  PM|MISC PUB|3XX  N CANE ST|WAHIAWA|District 2
08/24/2023   16:04:24  PM|MISC PUB|MAKAPUU LIGHTHOUSE|HAWAII KAI|District 7
08/24/2023   16:03:53  PM|MISC CRIME OFFENSE|8XX  BISHOP ST|DOWNTOWN|District 1
08/24/2023   15:56:31  PM|MEDICAL ASSIST|4116XX  KUMUNIU ST|WAIMANALO|District 4
08/24/2023   15:29:00  PM|MVC|5503XX  KAM HWY|LAIE|District 4
08/24/2023   15:25:01  PM|FAMILY OFF/NEG|3XX  N CANE ST|WAHIAWA|District 2
08/24/2023   15:17:33  PM|MEDICAL ASSIST|KAM HWY / KAWELA CAMP RD|KAHUKU|District 4
08/24/2023   15:04:24  PM|RAPE|26XX  CAMPUS RD|MANOA|District 7
08/24/2023   14:56:59  PM|VEH TOWED|KAEKAE ST / LEHUAKONA ST|MILILANI|District 2
08/24/2023   14:05:03  PM|UNATTENDED DEATH|9410XX  OLI PL|WAIPIO|District 3
08/24/2023   13:40:09  PM|BURGLARY|7XX  MCCULLY ST|MCCULLY|District 7
08/24/2023   13:04:52  PM|FOLLOW UP|9402XX  WAIPAHU ST|WAIPAHU|District 3
08/24/2023   11:49:19  AM|FAMILY OFF/NEG|9800XX  KULEANA RD|PEARL CITY|District 3
