08/28/2023   16:28:32  PM|SUSP PERSON|7XX  CAPTAIN COOK AVE|PUNCHBOWL|District 1
08/28/2023   16:27:35  PM|MISC SERVICE CALL|11XX  KOHOU ST|KALIHI|District 5
08/28/2023   16:26:02  PM|TRESPASS WARN|2XX  KUULEI RD|KAILUA|District 4
08/28/2023   16:22:58  PM|AUTO THEFT|4XX  KEOLU DR|KAILUA|District 4
08/28/2023   16:22:17  PM|MISC SERVICE CALL|9109XX  NORTH RD|EWA BEACH|District 8
08/28/2023   16:22:13  PM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
08/28/2023   16:21:43  PM|NUISANCE COMPLAINT|9106XX  PUAMAEOLE ST|EWA BEACH|District 8
08/28/2023   16:19:28  PM|MISC CRIME OFFENSE|9405XX  KIPOU ST|WAIPAHU|District 3
08/28/2023   16:18:02  PM|TRESPASS|14XX  LINAPUNI ST|KALIHI|District 5
08/28/2023   16:17:26  PM|MISC PUB|6XX  MOKAUEA ST|KALIHI|District 5
08/28/2023   16:14:12  PM|MVC|2XX  H1E FWY|KALIHI|District 5
08/28/2023   16:13:49  PM|BURGLARY|6XX  WILIKINA DR|WAHIAWA|District 2
08/28/2023   16:11:54  PM|UEMV|9807XX  KUAHAO PL|PEARL CITY|District 3
08/28/2023   16:08:55  PM|THEFT|88XX  KALANIANAOLE HWY|HAWAII KAI|District 7
08/28/2023   16:06:56  PM|MISC SERVICE CALL|9403XX  KUAHELANI AVE|MILILANI|District 2
08/28/2023   16:05:36  PM|THEFT|9408XX  LUMIAINA ST|WAIPIO|District 3
08/28/2023   16:05:06  PM|THEFT|2XX  KAWAIHAE ST|HAWAII KAI|District 7
08/28/2023   16:00:18  PM|AUTO THEFT|17XX  BECKLEY ST|KALIHI|District 5
08/28/2023   15:58:28  PM|MISC SERVICE CALL|9412XX  FARRINGTON HWY|WAIPAHU|District 3
08/28/2023   15:56:33  PM|AGGRAVATED ASSAULT|X JARRETT WHITE RD|TRIPLER|District 5
08/28/2023   14:37:54  PM|AGGRAVATED ASSAULT|FARRINGTON HWY / HILA ST|MAILI|District 8
08/28/2023   13:54:25  PM|HARASSMENT|5305XX  KAM HWY|PUNALUU|District 4
