08/30/2023   09:25:12  AM|MISSING PERSON|2XX  KOA ST|WAHIAWA|District 2
08/30/2023   09:24:08  AM|THEFT|49XX  KELA PL|IROQUOIS|District 8
08/30/2023   09:23:50  AM|FOLLOW UP|8502XX  FARRINGTON HWY|WAIANAE|District 8
08/30/2023   09:22:50  AM|ARGUMENT|5400XX  HAUKOI PL|HAUULA|District 4
08/30/2023   09:19:39  AM|ARGUMENT|4707XX  MALUMALU PL|KANEOHE|District 4
08/30/2023   09:18:58  AM|ARGUMENT|9106XX  FARRINGTON HWY|KAPOLEI|District 8
08/30/2023   09:15:44  AM|WARRANT ARREST|KONA ST / KONA IKI ST|ALA MOANA|District 1
08/30/2023   09:15:42  AM|FOLLOW UP|XX  N BERETANIA ST|DOWNTOWN|District 1
08/30/2023   09:11:45  AM|MVC|32XX  MOANALUA RD|MOANALUA V|District 5
08/30/2023   09:07:34  AM|MISC PUB|X JARRETT WHITE RD|TRIPLER|District 5
08/30/2023   09:07:31  AM|VEH TOWED|21XX  ATHERTON RD|MANOA|District 7
08/30/2023   09:04:48  AM|RUNAWAY CXL|6XX  MIDDLE ST|AIRPORT|District 5
08/30/2023   09:04:47  AM|THREATENING|9806XX  MOANALUA LOOP|AIEA|District 3
08/30/2023   09:03:28  AM|UNATTENDED DEATH|8407XX  ALA MAHIKU ST|MAKAHA|District 8
08/30/2023   08:57:50  AM|RUNAWAY|9909XX  HULUMANU ST|AIEA|District 3
08/30/2023   08:33:30  AM|FOUND PROPERTY|16XX  N SCHOOL ST|KALIHI|District 5
08/30/2023   08:09:14  AM|MISC SERVICE CALL|H1E ONTO MFE|AIEA|District 3
08/30/2023   08:02:56  AM|AGGRAVATED ASSAULT|22XX  N SCHOOL ST|KALIHI|District 5
08/30/2023   07:32:23  AM|FOLLOW UP|10XX  FORT ST MALL|DOWNTOWN|District 1
