08/31/2023   19:27:26  PM|ICF/SCF|32XX  KALIHI ST|KALIHI|District 5
08/31/2023   19:17:12  PM|TRESPASS WARN|2XX  LILIUOKALANI AVE|WAIKIKI|District 6
08/31/2023   19:07:17  PM|VEH TOWED|KUNIA RD / HONOWAI ST|WAIPAHU|District 3
08/31/2023   19:05:03  PM|VEH TOWED|2XX  KAUMAKANI ST|HAWAII KAI|District 7
08/31/2023   19:01:14  PM|MVC|21XX  PALI HWY|PUNCHBOWL|District 1
08/31/2023   18:52:54  PM|VEH TOWED|2XX  H1W FWY|MANOA|District 7
08/31/2023   18:51:50  PM|WARRANT ARREST|9404XX  KUPUOHI ST|WAIPAHU|District 3
08/31/2023   18:47:43  PM|RUNAWAY CXL|PIIKOI ST / HOOLAI ST|HONOLULU|District 1
08/31/2023   18:40:44  PM|MISC PUB|8401XX  ORANGE ST|MAKAHA|District 8
08/31/2023   17:49:50  PM|UNATTENDED DEATH|8602XX  HOKUPAA ST|WAIANAE|District 8
08/31/2023   16:11:36  PM|THEFT|7XX  KEEAUMOKU ST|HONOLULU|District 1
08/31/2023   15:58:49  PM|DRUGS/NARCOTICS|S BERETANIA ST / PALI HWY|DOWNTOWN|District 1
08/31/2023   15:25:29  PM|DRUGS/NARCOTICS|MAUNAKEA ST / N KING ST|DOWNTOWN|District 1
