08/31/2023   19:59:03  PM|COUNTERFEIT/FORGERY|9502XX  KIPAPA DR|MILILANI|District 2
08/31/2023   19:56:46  PM|PARKING VIOLATION|SEASIDE AVE / ALOHA DR|WAIKIKI|District 6
08/31/2023   19:49:28  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
08/31/2023   19:46:00  PM|AUTO THEFT|9XX  PUMEHANA ST|MCCULLY|District 7
08/31/2023   19:45:03  PM|FAMILY OFF/NEG|9803XX  PONO ST|AIEA|District 3
08/31/2023   19:39:31  PM|MVC|13XX  PALI HWY|DOWNTOWN|District 1
08/31/2023   19:24:44  PM|NUISANCE COMPLAINT|8600XX  FARRINGTON HWY|WAIANAE|District 8
08/31/2023   19:01:14  PM|MVC|21XX  PALI HWY|PUNCHBOWL|District 1
08/31/2023   18:51:50  PM|WARRANT ARREST|9404XX  KUPUOHI ST|WAIPAHU|District 3
08/31/2023   17:49:50  PM|UNATTENDED DEATH|8602XX  HOKUPAA ST|WAIANAE|District 8
08/31/2023   15:58:49  PM|DRUGS/NARCOTICS|S BERETANIA ST / PALI HWY|DOWNTOWN|District 1
08/31/2023   15:25:29  PM|DRUGS/NARCOTICS|MAUNAKEA ST / N KING ST|DOWNTOWN|District 1
