09/03/2023   15:13:33  PM|MEDICAL ASSIST|5500XX  NAUPAKA ST|LAIE|District 4
09/03/2023   15:13:30  PM|STALLED/HAZARD VEH|ALA MOANA BLVD / HOBRON LN|WAIKIKI|District 6
09/03/2023   15:10:01  PM|DEFIB CALL|16XX  WAIKAHALULU LN|NUUANU|District 5
09/03/2023   15:08:27  PM|BURGLARY|8403XX  MAKAHA VALLEY RD|MAKAHA|District 8
09/03/2023   15:05:54  PM|STALLED/HAZARD VEH|ALENCASTRE ST / KAMINAKA DR|KAIMUKI|District 7
09/03/2023   15:05:34  PM|STALLED/HAZARD VEH|H1W KAONOHI OP|AIEA|District 3
09/03/2023   15:04:50  PM|HARASSMENT|5900XX  HOLAWA PL|SUNSET|District 2
09/03/2023   15:00:54  PM|VEH TOWED|KAPOLEI PKWY / RENTON RD|EWA BEACH|District 8
09/03/2023   14:57:35  PM|MISC SERVICE CALL|8909XX  HALEAKALA AVE|NANAKULI|District 8
09/03/2023   14:47:41  PM|MVC|MAKALOA ST / KAHEKA ST|HONOLULU|District 1
09/03/2023   14:37:23  PM|MISC SERVICE CALL|4XX  N SCHOOL ST|NUUANU|District 5
09/03/2023   14:36:34  PM|MISC PUB|9817XX  NAHELE ST|AIEA|District 3
09/03/2023   14:09:55  PM|SIMPLE ASSAULT|16XX  SAND ISLAND PKWY|KALIHI|District 5
09/03/2023   14:05:28  PM|UEMV|KAM HWY / PAALAA UKA PUPUKEA RD|WAHIAWA|District 2
09/03/2023   13:53:18  PM|MISC PUB|8903XX  MOKIAWE ST|NANAKULI|District 8
09/03/2023   13:31:40  PM|RUNAWAY CXL|3XX  OHAI PL|WAHIAWA|District 2
