09/08/2023   23:12:36  PM|FOLLOW UP|4XX  NIU ST|WAIKIKI|District 6
09/08/2023   23:09:19  PM|MISC PUB|19XX  PAUOA RD|NUUANU|District 5
09/08/2023   23:07:30  PM|NUISANCE COMPLAINT|10XX  KAUMOKU ST|HAWAII KAI|District 7
09/08/2023   23:07:13  PM|AGGRAVATED ASSAULT|5XX  FARRINGTON HWY|KAPOLEI|District 8
09/08/2023   23:06:32  PM|NUISANCE COMPLAINT|1XX  MAKAWEO AVE|WAHIAWA|District 2
09/08/2023   23:04:55  PM|THEFT|12XX  ALA KAPUNA|MOANALUA V|District 5
09/08/2023   23:03:46  PM|MISC PUB|9506XX  LANIKUHANA AVE|MILILANI|District 2
09/08/2023   22:50:15  PM|WARRANT ARREST|36XX  LIKINI ST|ALIAMANU|District 5
09/08/2023   22:46:57  PM|MISC PUB|4509XX  KAM HWY|KANEOHE|District 4
09/08/2023   22:15:59  PM|THEFT|11XX  DILLINGHAM BLVD|KALIHI|District 5
09/08/2023   22:01:21  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
09/08/2023   21:30:04  PM|PROPERTY DAMAGE|25XX  IPULEI WAY|KAIMUKI|District 7
09/08/2023   21:21:18  PM|TRESPASS WARN|8XX  N NIMITZ HWY|KALIHI|District 5
09/08/2023   21:18:09  PM|VEH TOWED|KAM HWY / KUAHELANI AVE|MILILANI|District 2
09/08/2023   20:52:07  PM|ROBBERY|5XX  QUEEN ST|HONOLULU|District 1
09/08/2023   18:43:36  PM|UNATTENDED DEATH|5602XX  MARCONI RD|KAHUKU|District 4
