09/20/2023   11:12:11  AM|MISSING PERSON|17XX  LILIHA ST|NUUANU|District 5
09/20/2023   11:10:35  AM|MISC SERVICE CALL|8901XX  FARRINGTON HWY|NANAKULI|District 8
09/20/2023   11:08:18  AM|TRAFFIC CONTROL DEVICE|SMITH ST / N HOTEL ST|DOWNTOWN|District 1
09/20/2023   11:07:42  AM|SIMPLE ASSAULT|9505XX  HOAKA PL|MILILANI|District 2
09/20/2023   11:07:21  AM|MVC|MCCULLY ST / FERN ST|MCCULLY|District 7
09/20/2023   11:07:11  AM|VEH TOWED|8XX  ISENBERG ST|MCCULLY|District 7
09/20/2023   11:05:51  AM|UEMV|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
09/20/2023   11:05:39  AM|FOLLOW UP|8714XX  FARRINGTON HWY|NANAKULI|District 8
09/20/2023   11:03:14  AM|MISC SERVICE CALL|11XX  LYMAN RD|SCHOFIELD|District 2
09/20/2023   11:00:49  AM|MISC PUB|8513XX  KAPAEKAHI ST|WAIANAE|District 8
09/20/2023   10:57:32  AM|THEFT|9810XX  MOANALUA RD|AIEA|District 3
09/20/2023   10:46:55  AM|MISC SERVICE CALL|11XX  MONA ST|AINA HAINA|District 7
09/20/2023   10:46:18  AM|WARRANT ARREST|KALAKAUA AVE / OHUA AVE|WAIKIKI|District 6
09/20/2023   10:42:52  AM|MVC|1XX  H1E FWY|AIEA|District 3
09/20/2023   10:38:40  AM|THEFT|4511XX  KAM HWY|KANEOHE|District 4
09/20/2023   10:37:51  AM|MISC SERVICE CALL|11XX  KALAUIPO PL|PEARL CITY|District 3
09/20/2023   10:36:25  AM|MISC PUB|15XX  MOI ST|SCHOFIELD|District 2
09/20/2023   10:32:31  AM|WARRANT ARREST|3XX  KEAHOLE ST|HAWAII KAI|District 7
09/20/2023   10:27:41  AM|ARGUMENT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/20/2023   10:16:28  AM|FOLLOW UP|9812XX  ULUNE ST|AIEA|District 3
09/20/2023   09:58:45  AM|FAMILY OFF/NEG|4100XX  EHUKAI ST|WAIMANALO|District 4
09/20/2023   09:22:54  AM|SIMPLE ASSAULT|9105XX  MAUNAKAPU ST|EWA BEACH|District 8
09/20/2023   08:59:04  AM|AGGRAVATED ASSAULT|9150XX  KAPOLEI PKWY|KAPOLEI|District 8
09/20/2023   08:28:16  AM|UNATTENDED DEATH|24XX  CLEGHORN ST|WAIKIKI|District 6
09/20/2023   08:15:09  AM|FAMILY OFF/NEG|9806XX  MOANALUA LOOP|AIEA|District 3
09/20/2023   07:55:19  AM|RAPE|XX  S HOTEL ST|DOWNTOWN|District 1
