10/01/2023   19:54:53  PM|FOLLOW UP|4502XX  KAILIWAI PL|KANEOHE|District 4
10/01/2023   19:49:41  PM|MISC SERVICE CALL|25XX  ALA WAI BLVD|WAIKIKI|District 6
10/01/2023   19:44:08  PM|THEFT|9501XX  KAPAWA PL|MILILANI|District 2
10/01/2023   19:42:54  PM|VEH TOWED|FORT WEAVER RD / RENTON RD|EWA BEACH|District 8
10/01/2023   19:42:54  PM|RUNAWAY|9403XX  ALULA PL|MILILANI|District 2
10/01/2023   19:34:54  PM|FAMILY OFF/NEG|12XX  RIVER ST|DOWNTOWN|District 1
10/01/2023   19:24:42  PM|NOISE COMPLAINT|14XX  LINAPUNI ST|KALIHI|District 5
10/01/2023   19:07:15  PM|MISC PUB|5901XX  KAM HWY|SUNSET|District 2
10/01/2023   18:52:38  PM|RUNAWAY|5801XX  KAM HWY|SUNSET|District 2
10/01/2023   18:03:25  PM|FAMILY OFF/NEG|10XX  ALOHIKEA ST|KAPOLEI|District 8
10/01/2023   16:37:54  PM|UNATTENDED DEATH|8512XX  KANEAKI ST|WAIANAE|District 8
