10/14/2023   18:58:59  PM|AUTO THEFT|9505XX  POIKI PL|MILILANI|District 2
10/14/2023   18:57:57  PM|THEFT|16XX  WILDER AVE|MANOA|District 7
10/14/2023   18:54:22  PM|MISC SERVICE CALL|5XX  KAAAHI ST|KALIHI|District 5
10/14/2023   18:54:05  PM|MISC PUB|14XX  ALA MOANA PARK DR|ALA MOANA|District 1
10/14/2023   18:52:15  PM|MVC|KALANIANAOLE HWY / WAIMANALO BAY DRIVEWAY|WAIMANALO|District 4
10/14/2023   18:52:09  PM|ARGUMENT FAMILY|7XX  MANAWAI ST|KAPOLEI|District 8
10/14/2023   18:49:19  PM|VEH TOWED|XX  H1W FWY|WAIPAHU|District 3
10/14/2023   18:48:17  PM|MEDICAL ASSIST|24XX  KUHIO AVE|WAIKIKI|District 6
10/14/2023   18:46:16  PM|VEH TOWED|26XX  KALAKAUA AVE|WAIKIKI|District 6
10/14/2023   18:46:02  PM|FOLLOW UP|26XX  HUAPALA ST|MANOA|District 7
10/14/2023   18:44:02  PM|MVC|4510XX  KAM HWY|KANEOHE|District 4
10/14/2023   18:30:05  PM|FIRE CALL|30XX  ALA NAPUAA PL|SALT LAKE|District 5
10/14/2023   18:23:12  PM|THEFT|9XX  S BERETANIA ST|HONOLULU|District 1
10/14/2023   18:11:52  PM|MISC PUB|FARRINGTON HWY / PAIWA ST|WAIPAHU|District 3
10/14/2023   18:09:36  PM|DRUGS/NARCOTICS|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
10/14/2023   18:09:31  PM|ROBBERY|14XX  ALA MOANA BLVD|ALA MOANA|District 1
10/14/2023   18:07:29  PM|FOLLOW UP|XX  N HOTEL ST|DOWNTOWN|District 1
10/14/2023   18:05:52  PM|UEMV|82XX  KALANIANAOLE HWY|HAWAII KAI|District 7
10/14/2023   18:05:26  PM|FOLLOW UP|77XX  HAWAII KAI DR|HAWAII KAI|District 7
10/14/2023   17:35:53  PM|RUNAWAY CXL|12XX  AALA ST|DOWNTOWN|District 1
10/14/2023   17:29:12  PM|UNATTENDED DEATH|4501XX  KOKOKAHI PL|KANEOHE|District 4
10/14/2023   16:55:24  PM|MISC PUB|8700XX  FARRINGTON HWY|MAILI|District 8
10/14/2023   14:30:41  PM|HOMICIDE|48XX  E EHA WAY|IROQUOIS|District 8
