10/15/2023   10:13:34  AM|PARKING VIOLATION|POLOAHILANI ST / KUAIE ST|MILILANI|District 2
10/15/2023   10:07:54  AM|THREATENING|10XX  MANAWAI ST|KAPOLEI|District 8
10/15/2023   10:06:29  AM|VEH TOWED|17XX  BECKLEY ST|KALIHI|District 5
10/15/2023   10:03:44  AM|ARGUMENT|5403XX  KAM HWY|HAUULA|District 4
10/15/2023   09:47:26  AM|ATTEMPTED SUICIDE|20XX  KALIA RD|WAIKIKI|District 6
10/15/2023   09:45:09  AM|MVC|2XX  MAKEE RD|WAIKIKI|District 6
10/15/2023   09:33:36  AM|MISC SERVICE CALL|19XX  ALA MOANA BLVD|WAIKIKI|District 6
10/15/2023   09:23:45  AM|MISC PUB|1XX  KAPAA QUARRY RD|KAILUA|District 4
10/15/2023   09:14:27  AM|MISC PUB|ALALOA ST / HAIKU RD|KANEOHE|District 4
10/15/2023   08:33:00  AM|UNATTENDED DEATH|8709XX  PAPAYA RD|MAILI|District 8
10/15/2023   06:32:56  AM|MISC CRIME OFFENSE|18XX  ALA MOANA BLVD|WAIKIKI|District 6
10/15/2023   06:03:27  AM|THREATENING|5300XX  POKIWAI PL|PUNALUU|District 4
10/14/2023   19:24:16  PM|UEMV|10XX  WANAKA ST|ALIAMANU|District 5
