10/21/2023   05:43:53  AM|MISC SERVICE CALL|18XX  FERN ST|MCCULLY|District 7
10/21/2023   05:41:31  AM|STALLED VEH|MFE ALA KAPUNA OP|MOANALUA V|District 5
10/21/2023   05:37:28  AM|SIMPLE ASSAULT|14XX  YOUNG ST|HONOLULU|District 1
10/21/2023   05:36:09  AM|TRESPASS|14XX  DILLINGHAM BLVD|KALIHI|District 5
10/21/2023   05:31:15  AM|TRAFFIC CONTROL DEVICE|KOMO MAI DR / KAAHUMANU ST|PEARL CITY|District 3
10/21/2023   05:26:19  AM|VEH TOWED|MONSARRAT AVE / KALAKAUA AVE|WAIKIKI|District 6
10/21/2023   05:20:44  AM|MISC PUB|7XX  WAIAKAMILO RD|KALIHI|District 5
10/21/2023   05:17:41  AM|VEH TOWED|28XX  MONSARRAT AVE|WAIKIKI|District 6
10/21/2023   05:17:40  AM|PARKING VIOLATION|PAPALI PL / PAPALI ST|KALIHI|District 5
10/21/2023   05:15:56  AM|TRESPASS WARN|8601XX  FARRINGTON HWY|WAIANAE|District 8
10/21/2023   05:02:20  AM|FIRE CALL|9406XX  HONOWAI ST|WAIPAHU|District 3
10/21/2023   05:00:59  AM|UEMV|11XX  HALA DR|KALIHI|District 5
