10/22/2023   07:58:35  AM|BURGLARY|10XX  MATZIE LN|KALIHI|District 5
10/22/2023   07:57:02  AM|FAMILY OFF/NEG|6700XX  NAUKANA ST|WAIALUA|District 2
10/22/2023   07:55:52  AM|MISC SERVICE CALL|13XX  PUNCHBOWL ST|HONOLULU|District 1
10/22/2023   07:55:31  AM|PARKING VIOLATION|9905XX  ULUNE ST|AIEA|District 3
10/22/2023   07:52:25  AM|PARKING VIOLATION|20XX  10TH AVE|KAIMUKI|District 7
10/22/2023   07:47:58  AM|MISC SERVICE CALL|4704XX  PAKAI PL|KANEOHE|District 4
10/22/2023   07:45:06  AM|NUISANCE COMPLAINT|9511XX  LEHIWA DR|MILILANI|District 2
10/22/2023   07:44:31  AM|FAMILY OFF/NEG|25XX  KAPIOLANI BLVD|MCCULLY|District 7
10/22/2023   07:41:00  AM|THEFT|8405XX  MAKAHA VALLEY RD|MAKAHA|District 8
10/22/2023   07:38:36  AM|AUTO THEFT|17XX  WILIKINA DR|WAHIAWA|District 2
10/22/2023   07:38:13  AM|UNATTENDED DEATH|8904XX  FARRINGTON HWY|NANAKULI|District 8
10/22/2023   07:31:47  AM|ATTEMPTED SUICIDE|4704XX  MAHAKEA RD|KAHALUU|District 4
10/22/2023   07:21:32  AM|AUTO THEFT|9215XX  ALIINUI DR|KAPOLEI|District 8
10/22/2023   06:47:42  AM|MISC PUB|9411XX  KUNIA RD|KUNIA|District 2
10/22/2023   06:29:30  AM|UNATTENDED DEATH|62XX  KEOKEA PL|HAWAII KAI|District 7
10/22/2023   06:09:34  AM|WARRANT ARREST|2XX  KAPAHULU AVE|WAIKIKI|District 6
10/22/2023   03:29:28  AM|MVC VEH TOWED|5303XX  KAM HWY|PUNALUU|District 4
