10/24/2023   22:38:09  PM|ARGUMENT|17XX  ALA MOANA BLVD|WAIKIKI|District 6
10/24/2023   22:37:06  PM|MISC PUB|KUALAKAI PKWY / KEAHUMOA PKWY|EWA BEACH|District 8
10/24/2023   22:28:44  PM|MISC PUB|KAM HWY / KA UKA BLVD|WAIPIO|District 3
10/24/2023   22:27:46  PM|THEFT|9408XX  LUMIAUAU ST|WAIPIO|District 3
10/24/2023   22:25:32  PM|THEFT|9162XX  KAPOLEI PKWY|EWA BEACH|District 8
10/24/2023   22:16:16  PM|FAMILY OFF/NEG|8XX  ALA LILIKOI ST|SALT LAKE|District 5
10/24/2023   22:07:38  PM|THEFT|32XX  N NIMITZ HWY|AIRPORT|District 5
10/24/2023   21:58:15  PM|SIMPLE ASSAULT|8411XX  FARRINGTON HWY|MAKAHA|District 8
10/24/2023   21:34:21  PM|MISC PUB|KAPOLEI PKWY / RENTON RD|EWA BEACH|District 8
10/24/2023   20:28:13  PM|MISC PUB|SALT LAKE BLVD / KAHUAPAANI ST|AIEA|District 3
10/24/2023   12:38:51  PM|ROBBERY VEH TAKEN|20XX  ALA MAHAMOE|MOANALUA V|District 5
