11/02/2023   18:13:58  PM|PARKING VIOLATION|19XX  KAHAKAI DR|ALA MOANA|District 1
11/02/2023   18:12:12  PM|MISC SERVICE CALL|11XX  21ST AVE|KAIMUKI|District 7
11/02/2023   18:11:27  PM|DEFIB CALL|23XX  KAHAUIKI ST|KALIHI|District 5
11/02/2023   18:10:45  PM|TRESPASS WARN|42XX  WAIALAE AVE|KAIMUKI|District 7
11/02/2023   18:08:13  PM|MISC SERVICE CALL|5XX  KAAAHI ST|KALIHI|District 5
11/02/2023   18:04:55  PM|FOLLOW UP|11XX  KAHILI ST|KAILUA|District 4
11/02/2023   18:04:13  PM|TRAFFIC COMPLAINT|AUWAI DR / KOA ST|WAHIAWA|District 2
11/02/2023   18:01:29  PM|MISC SERVICE CALL|10XX  MIKOLE ST|KALIHI|District 5
11/02/2023   17:58:34  PM|MISC PUB|X SAND ISLAND PKWY|KALIHI|District 5
11/02/2023   17:57:54  PM|MISC SERVICE CALL|4506XX  KAPUNAHALA RD|KANEOHE|District 4
11/02/2023   17:54:42  PM|STALLED/HAZARD VEH|LIKELIKE FROM H3E|KANEOHE|District 4
11/02/2023   17:27:43  PM|MISC SERVICE CALL|1XX  CYPRESS AVE|WAHIAWA|District 2
11/02/2023   17:24:51  PM|FAMILY OFF/NEG|9207XX  KUHOHO PL|MAKAKILO|District 8
11/02/2023   17:13:45  PM|MVC|H3E FWY / KAM HWY|KANEOHE|District 4
11/02/2023   17:01:09  PM|AUTO THEFT RECOVERY|16XX  STILLMAN LN|NUUANU|District 5
11/02/2023   16:30:05  PM|AUTO THEFT RECOVERY|16XX  WAIKAHALULU LN|NUUANU|District 5
