11/04/2023   08:28:50  AM|SMOKE/FIRE NUISANCE|9502XX  KIPAPA DR|MILILANI|District 2
11/04/2023   08:26:09  AM|MVC|24XX  KUHIO AVE|WAIKIKI|District 6
11/04/2023   08:23:54  AM|MISC CRIME OFFENSE|66XX  KALOPA ST|HAWAII KAI|District 7
11/04/2023   08:22:33  AM|MVC|5202XX  KAM HWY|KAAAWA|District 4
11/04/2023   08:22:24  AM|WARRANT ARREST|KALAKAUA AVE / OHUA AVE|WAIKIKI|District 6
11/04/2023   08:21:49  AM|MEDICAL ASSIST|20XX  KALAKAUA AVE|WAIKIKI|District 6
11/04/2023   08:18:31  AM|NUISANCE COMPLAINT|20XX  MALUHIA RD|FT DERUSSY|District 6
11/04/2023   08:10:21  AM|VEH TOWED|16XX  KEALIA DR|KALIHI|District 5
11/04/2023   08:08:46  AM|WARRANT ARREST|KALAKAUA AVE / LILIUOKALANI AVE|WAIKIKI|District 6
11/04/2023   07:37:13  AM|HARASSMENT|9XX  KAPAHULU AVE|KAIMUKI|District 7
11/04/2023   07:36:01  AM|COUNTERFEIT/FORGERY|8601XX  FARRINGTON HWY|WAIANAE|District 8
