11/05/2023   00:26:56  AM|NUISANCE COMPLAINT|FARRINGTON HWY / LAAU PAINA PL|WAIALUA|District 2
11/05/2023   00:23:38  AM|ARGUMENT|MCNEILL ST / KAIWIULA ST|KALIHI|District 5
11/05/2023   00:23:05  AM|MISC SERVICE CALL|9102XX  HANAPOULI CIR|EWA BEACH|District 8
11/05/2023   00:22:10  AM|MISC SERVICE CALL|9109XX  KUHINA ST|EWA BEACH|District 8
11/05/2023   00:20:55  AM|MISC PUB|16XX  N SCHOOL ST|KALIHI|District 5
11/05/2023   00:19:21  AM|SUSP VEH|12XX  KUALA ST|PEARL CITY|District 3
11/05/2023   00:07:16  AM|HARASSMENT|8XX  KAHEKA ST|HONOLULU|District 1
11/05/2023   00:05:19  AM|FAMILY OFF/NEG|8709XX  HAKEAKEA ST|MAILI|District 8
11/04/2023   23:53:45  PM|MISC PUB|KAUA ST / HORNER ST|KALIHI|District 5
11/04/2023   23:43:11  PM|VEH TOWED|MONA ST / KAINOA PL|AINA HAINA|District 7
11/04/2023   23:31:07  PM|FAMILY OFF/NEG|5XX  CAPTAIN COOK AVE|HONOLULU|District 1
11/04/2023   23:23:05  PM|VEH TOWED|ALA MOANA BLVD / ATKINSON DR|ALA MOANA|District 1
11/04/2023   22:50:29  PM|UNATTENDED DEATH|23XX  KAOLA WAY|PUNCHBOWL|District 1
11/04/2023   22:43:45  PM|AUTO THEFT|MONSARRAT AVE / LEAHI AVE|WAIKIKI|District 6
11/04/2023   22:27:26  PM|FAMILY OFF/NEG|13XX  KINAU ST|HONOLULU|District 1
11/04/2023   22:11:14  PM|DUI|9801XX  KAONOHI ST|AIEA|District 3
11/04/2023   22:03:02  PM|DUI|KAILUA RD / KAINEHE ST|KAILUA|District 4
11/04/2023   21:51:51  PM|MVC|31XX  BOOTH RD|PUNCHBOWL|District 1
11/04/2023   21:21:26  PM|DUI|X SAND ISLAND ACC RD|KALIHI|District 5
