11/05/2023   22:42:15  PM|TRAFFIC STOP|KINAU ST / PENSACOLA ST|HONOLULU|District 1
11/05/2023   22:40:12  PM|SUSP CIRCUMSTANCE|8604XX  HALONA RD|WAIANAE|District 8
11/05/2023   22:33:26  PM|ARGUMENT FAMILY|9121XX  KAIOLI ST|EWA BEACH|District 8
11/05/2023   22:20:15  PM|RUNAWAY|5606XX  KAM HWY|KAHUKU|District 4
11/05/2023   22:16:59  PM|VEH TOWED|GEIGER RD / KAMAKANA ST|KALAELOA|District 8
11/05/2023   22:10:37  PM|ORDER VIOLATION|9500XX  WAIHONU PL|MILILANI|District 2
11/05/2023   22:08:53  PM|NUISANCE COMPLAINT|16XX  MALIU ST|KALIHI|District 5
11/05/2023   22:02:39  PM|MISC PUB|5401XX  IMUA PL|HAUULA|District 4
11/05/2023   21:39:37  PM|VEH TOWED|NOELANI ST / KAMAHAO ST|PEARL CITY|District 3
11/05/2023   20:14:07  PM|THREATENING|XX  MAALO ST|WAHIAWA|District 2
11/05/2023   18:56:53  PM|ROBBERY|8716XX  FARRINGTON HWY|NANAKULI|District 8
11/05/2023   18:50:09  PM|FAMILY OFF/NEG|8509XX  FARRINGTON HWY|WAIANAE|District 8
11/05/2023   17:53:29  PM|THREATENING|4108XX  LAUMILO ST|WAIMANALO|District 4
