11/11/2023   12:40:02  PM|ARGUMENT|9405XX  KUPUOHI ST|WAIPAHU|District 3
11/11/2023   12:37:09  PM|MISC SERVICE CALL|6606XX  KAM HWY|HALEIWA|District 2
11/11/2023   12:36:51  PM|AUTO THEFT|6603XX  HALEIWA RD|HALEIWA|District 2
11/11/2023   12:35:40  PM|PROPERTY DAMAGE|6XX  PUUHALE RD|KALIHI|District 5
11/11/2023   12:22:16  PM|THREATENING|13XX  PUNCHBOWL ST|HONOLULU|District 1
11/11/2023   12:21:59  PM|MISC SERVICE CALL|8902XX  FARRINGTON HWY|NANAKULI|District 8
11/11/2023   12:17:16  PM|FOLLOW UP|9403XX  HOKUAHIAHI ST|MILILANI|District 2
11/11/2023   12:12:20  PM|MVC|5200XX  KAM HWY|KAAAWA|District 4
11/11/2023   12:02:02  PM|THEFT|2XX  HAMAKUA DR|KAILUA|District 4
11/11/2023   11:44:57  AM|TRESPASS WARN|29XX  HARDING AVE|KAPAHULU|District 7
11/11/2023   11:40:16  AM|AUTO THEFT|5XX  LUNALILO HOME RD|HAWAII KAI|District 7
11/11/2023   11:34:48  AM|ATTEMPTED SUICIDE|4102XX  PAUPAHAPAHA PL|WAIMANALO|District 4
11/11/2023   11:00:23  AM|UEMV|MAKAPUU LIGHTHOUSE|HAWAII KAI|District 7
11/11/2023   08:19:22  AM|FOLLOW UP|PUNIU ST / HOOLAI ST|KAILUA|District 4
