11/12/2023   21:15:58  PM|ARGUMENT|KAPILI ST / TUSITALA ST|WAIKIKI|District 6
11/12/2023   21:12:59  PM|VEH TOWED|8403XX  FARRINGTON HWY|MAKAHA|District 8
11/12/2023   21:09:29  PM|NOISE COMPLAINT|8XX  OLOKELE AVE|KAPAHULU|District 7
11/12/2023   21:06:37  PM|TRAFFIC STOP|KAPOLEI PKWY / KEAUNUI DR|EWA BEACH|District 8
11/12/2023   21:02:37  PM|AGGRAVATED ASSAULT|8901XX  FARRINGTON HWY|NANAKULI|District 8
11/12/2023   20:48:42  PM|DUI|FORT WEAVER RD / RENTON RD|EWA BEACH|District 8
11/12/2023   20:45:48  PM|VEH TOWED|14XX  LUSITANA ST|HONOLULU|District 1
11/12/2023   20:28:47  PM|FAMILY OFF/NEG|15XX  PUNAHOU ST|MANOA|District 7
11/12/2023   20:25:57  PM|VEH TOWED|KAPOLEI PKWY / KOLOWAKA DR|EWA BEACH|District 8
11/12/2023   19:50:30  PM|TRAFFIC ARREST/CITATION|WAIALAE AVE / KILAUEA AVE|KAHALA|District 7
11/12/2023   19:23:55  PM|THEFT|4509XX  KAM HWY|KANEOHE|District 4
11/12/2023   18:27:16  PM|MVC|9414XX  KULEWA LOOP|WAIPIO|District 3
11/12/2023   17:44:00  PM|MISC PUB|KAM HWY / KAKOI ST|AIRPORT|District 5
