11/17/2023   08:11:35  AM|STALLED/HAZARD VEH|KUNIA RD / FARRINGTON HWY|EWA BEACH|District 8
11/17/2023   08:11:34  AM|FOLLOW UP|27XX  OAHU AVE|MANOA|District 7
11/17/2023   08:10:25  AM|TRESPASS WARN|16XX  S KING ST|MCCULLY|District 7
11/17/2023   08:09:37  AM|ARGUMENT|5304XX  KAM HWY|PUNALUU|District 4
11/17/2023   08:07:59  AM|MISC SERVICE CALL|13XX  LUNALILO ST|MAKIKI|District 1
11/17/2023   08:02:28  AM|RUNAWAY|8XX  KALIHI ST|KALIHI|District 5
11/17/2023   08:00:53  AM|PROPERTY DAMAGE|23XX  KALAKAUA AVE|WAIKIKI|District 6
11/17/2023   07:59:10  AM|THEFT|14XX  LINAPUNI ST|KALIHI|District 5
11/17/2023   07:57:08  AM|TRAFFIC CONTROL DEVICE|N NIMITZ HWY / SAND ISLAND ACC RD|KALIHI|District 5
11/17/2023   07:56:30  AM|VEH TOWED|16XX  HAUIKI ST|KALIHI|District 5
11/17/2023   07:54:44  AM|VEH TOWED|HAWAII KAI DR / PAAUILO PL|HAWAII KAI|District 7
11/17/2023   07:54:35  AM|FOLLOW UP|27XX  KUILEI ST|MCCULLY|District 7
11/17/2023   07:52:44  AM|THEFT|12XX  MATLOCK AVE|HONOLULU|District 1
11/17/2023   07:51:35  AM|SIMPLE ASSAULT|12XX  AALA ST|DOWNTOWN|District 1
11/17/2023   07:50:50  AM|NUISANCE COMPLAINT|11XX  SMITH ST|DOWNTOWN|District 1
11/17/2023   07:50:04  AM|ORDER VIOLATION|18XX  MAKUAKANE ST|KALIHI|District 5
11/17/2023   07:46:58  AM|FAMILY OFF/NEG|7XX  AMANA ST|HONOLULU|District 1
11/17/2023   07:39:56  AM|AUTO THEFT|20XX  KALAKAUA AVE|WAIKIKI|District 6
11/17/2023   07:36:12  AM|WARRANT ARREST|4801XX  KAM HWY|KAHALUU|District 4
11/17/2023   07:17:23  AM|SIMPLE ASSAULT|20XX  KALAKAUA AVE|WAIKIKI|District 6
11/17/2023   07:03:01  AM|MISC PUB|8XX  MAKALEKA AVE|KAPAHULU|District 7
11/17/2023   06:55:14  AM|HARASSMENT|9405XX  KUPUOHI ST|WAIPAHU|District 3
11/17/2023   06:53:17  AM|LOST PROPERTY|57XX  KALANIANAOLE HWY|AINA HAINA|District 7
11/17/2023   06:49:48  AM|LOST PROPERTY|8XX  S BERETANIA ST|HONOLULU|District 1
11/17/2023   02:38:35  AM|VEH TOWED|LEOMANA PL / LEOMANA WAY|WAIPIO|District 3
