11/19/2023   10:58:49  AM|MISC SERVICE CALL|22XX  CALIFORNIA AVE|WAHIAWA|District 2
11/19/2023   10:58:31  AM|PROPERTY DAMAGE|9801XX  KAM HWY|AIEA|District 3
11/19/2023   10:55:35  AM|ANIMAL NOISE|10XX  PROSPECT ST|PUNCHBOWL|District 1
11/19/2023   10:54:50  AM|THEFT|9410XX  LELEPUA PL|WAIPIO|District 3
11/19/2023   10:53:21  AM|THREATENING|10XX  HAO ST|AINA HAINA|District 7
11/19/2023   10:47:38  AM|FOLLOW UP|9612XX  WAIHONA ST|PEARL CITY|District 3
11/19/2023   10:46:42  AM|MVC|ULUPUNI ST / ULUHALA ST|KAILUA|District 4
11/19/2023   10:27:20  AM|RUNAWAY|9410XX  KA UKA BLVD|WAIPIO|District 3
11/19/2023   10:07:18  AM|PROPERTY DAMAGE|8700XX  KULAAUPUNI ST|MAILI|District 8
11/19/2023   09:27:36  AM|WARRANT ARREST|DIAMOND HEAD RD / BEACH RD|KAHALA|District 7
11/19/2023   08:35:46  AM|TRESPASS|48XX  KAHALA AVE|KAHALA|District 7
11/19/2023   08:25:30  AM|FOLLOW UP|16XX  MAKALOA ST|HONOLULU|District 1
11/19/2023   07:54:26  AM|THEFT|17XX  ALA MOANA BLVD|WAIKIKI|District 6
11/19/2023   07:21:19  AM|ROBBERY|4XX  KUWILI ST|KALIHI|District 5
11/19/2023   03:58:29  AM|MISC PUB|7XX  ILIAINA ST|KAILUA|District 4
