11/23/2023   16:59:00  PM|MISC SERVICE CALL|2XX  OHUA AVE|WAIKIKI|District 6
11/23/2023   16:58:41  PM|AUTO THEFT|9110XX  KAUNOLU ST|EWA BEACH|District 8
11/23/2023   16:51:10  PM|HARASSMENT|9109XX  PAHUHU ST|EWA BEACH|District 8
11/23/2023   16:50:45  PM|MVC VEH TOWED|8720XX  FARRINGTON HWY|NANAKULI|District 8
11/23/2023   16:47:56  PM|HARASSMENT|18XX  KAHAKAI DR|ALA MOANA|District 1
11/23/2023   16:41:57  PM|FAMILY OFF/NEG|2XX  OHE ST|KAKAAKO|District 1
11/23/2023   16:33:54  PM|MISC PUB|52XX  LIKINI ST|SALT LAKE|District 5
11/23/2023   16:26:00  PM|BURGLARY|11XX  LYMAN RD|SCHOFIELD|District 2
11/23/2023   16:01:35  PM|VEH TOWED|4XX  KEOLU DR|KAILUA|District 4
11/23/2023   14:27:01  PM|ALARM CALL|5XX  KALIHI ST|KALIHI|District 5
11/23/2023   10:40:08  AM|UNATTENDED DEATH|5401XX  HANAIMOA ST|HAUULA|District 4
