11/29/2023   00:34:15  AM|MVC VEH TOWED|KAM HWY / PAALAA UKA PUPUKEA RD|WAHIAWA|District 2
11/29/2023   00:33:48  AM|NOISE COMPLAINT|MAPUANA ST / LEKEONA ST|KAILUA|District 4
11/29/2023   00:17:21  AM|ORDER VIOLATION|27XX  KAMANAIKI ST|KALIHI|District 5
11/28/2023   23:50:47  PM|ALARM CALL|14XX  ALA MOANA BLVD|ALA MOANA|District 1
11/28/2023   23:47:13  PM|ICF/SCF|16XX  AHIAHI PL|KALIHI|District 5
11/28/2023   23:45:21  PM|DUI|6XX  KAILUA RD|KAILUA|District 4
11/28/2023   23:40:00  PM|PROPERTY DAMAGE|5XX  PAULELE ST|KAILUA|District 4
11/28/2023   23:37:24  PM|MISC PUB|QUEEN ST / COOKE ST|HONOLULU|District 1
11/28/2023   23:37:00  PM|WARRANT ARREST|10XX  S BERETANIA ST|HONOLULU|District 1
11/28/2023   22:58:57  PM|DUI|1XX  ONEAWA ST|KAILUA|District 4
11/28/2023   22:46:42  PM|DUI|KEOLU DR / PAPALANI ST|KAILUA|District 4
11/28/2023   22:13:50  PM|MISC PUB|OLOMEA ST / IAO LN|KALIHI|District 5
11/28/2023   22:13:44  PM|MISC PUB|N KALAHEO AVE / MOKAPU BLVD|KAILUA|District 4
11/28/2023   22:11:27  PM|DUI|4509XX  KAM HWY|KANEOHE|District 4
