11/29/2023   19:58:51  PM|TRESPASS WARN|22XX  KUHIO AVE|WAIKIKI|District 6
11/29/2023   19:57:39  PM|LOUD PARTY|5903XX  KAM HWY|SUNSET|District 2
11/29/2023   19:54:18  PM|ORDER VIOLATION|6601XX  KAM HWY|HALEIWA|District 2
11/29/2023   19:47:38  PM|MISC PUB|H3W MOKAPU SADDLE UP|KANEOHE|District 4
11/29/2023   19:46:47  PM|MISC CRIME OFFENSE|6XX  N NIMITZ HWY|KALIHI|District 5
11/29/2023   19:41:32  PM|FOLLOW UP|8722XX  FARRINGTON HWY|NANAKULI|District 8
11/29/2023   19:35:36  PM|THEFT|9410XX  KAHIMOE PL|WAIPIO|District 3
11/29/2023   19:35:01  PM|THEFT|23XX  KALIHI ST|KALIHI|District 5
11/29/2023   19:25:24  PM|MVC VEH TOWED|1XX  H1W FWY|KALIHI|District 5
11/29/2023   19:18:04  PM|MISC PUB|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
11/29/2023   19:16:15  PM|MISC PUB|KAHUAPAANI ST / SALT LAKE BLVD|AIEA|District 3
11/29/2023   18:59:03  PM|MISC PUB|8XX  W HIND DR|AINA HAINA|District 7
11/29/2023   18:58:11  PM|MISC PUB|4105XX  POALIMA ST|WAIMANALO|District 4
11/29/2023   18:56:30  PM|AUTO THEFT|3XX  AOLOA ST|KAILUA|District 4
11/29/2023   18:41:43  PM|MISC PUB|KAUA ST / HORNER ST|KALIHI|District 5
11/29/2023   18:00:12  PM|MISC PUB|SAND ISLAND ACC RD / AUIKI ST|KALIHI|District 5
11/29/2023   17:24:44  PM|WARRANT ARREST|8XX  IWILEI RD|KALIHI|District 5
11/29/2023   15:46:39  PM|LIC PLATE THEFT CXL|6415XX  KAM HWY|WAHIAWA|District 2
