12/01/2023   22:41:41  PM|ICF/SCF|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/01/2023   22:40:18  PM|TRAFFIC STOP|9808XX  MOANALUA RD|AIEA|District 3
12/01/2023   22:40:05  PM|LOUD PARTY|9100XX  PARISH DR|EWA BEACH|District 8
12/01/2023   22:35:23  PM|NUISANCE COMPLAINT|7XX  KEEAUMOKU ST|HONOLULU|District 1
12/01/2023   22:34:24  PM|PARKING VIOLATION|10XX  GREEN ST|MAKIKI|District 1
12/01/2023   22:33:52  PM|MVC VEH TOWED|FARRINGTON HWY / PRINCESS KAHANU AVE|NANAKULI|District 8
12/01/2023   22:03:26  PM|SIMPLE ASSAULT|14XX  LINAPUNI ST|KALIHI|District 5
12/01/2023   22:02:27  PM|NUISANCE COMPLAINT|7XX  KAWAIAHAO ST|HONOLULU|District 1
12/01/2023   21:55:39  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
12/01/2023   21:11:00  PM|MISC PUB|KUALAKAI ONTO H1W / H1W FWY|MAKAKILO|District 8
12/01/2023   20:36:21  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
12/01/2023   20:07:52  PM|THREATENING|8901XX  NANAIKALA PL|NANAKULI|District 8
