12/06/2023   05:13:04  AM|MEDICAL ASSIST|2XX  CALIFORNIA AVE|WAHIAWA|District 2
12/06/2023   05:10:47  AM|THEFT|8XX  ALA LILIKOI ST|SALT LAKE|District 5
12/06/2023   05:10:22  AM|ALARM CALL|9404XX  FARRINGTON HWY|WAIPAHU|District 3
12/06/2023   05:04:04  AM|ALARM CALL|1XX  HEKILI ST|KAILUA|District 4
12/06/2023   05:03:04  AM|BURGLARY|9406XX  UKEE ST|WAIPIO|District 3
12/06/2023   04:58:03  AM|MISC PUB|20XX  PAUOA RD|PUNCHBOWL|District 1
12/06/2023   04:45:49  AM|FOLLOW UP|3XX  KALAIMOKU ST|WAIKIKI|District 6
12/06/2023   04:39:23  AM|AUTO THEFT|9412XX  LUMIKULA ST|WAIPIO|District 3
12/06/2023   04:34:48  AM|AUTO THEFT RECOVERY|9611XX  WAIHONA ST|PEARL CITY|District 3
12/06/2023   04:12:02  AM|VEH TOWED|37XX  CRATER RD|KAIMUKI|District 7
12/06/2023   04:09:40  AM|AUTO THEFT RECOVERY|H3W KANEOHE BAY OFF|KANEOHE|District 4
12/06/2023   03:40:45  AM|FAMILY OFF/NEG|4507XX  APUAKEA ST|KANEOHE|District 4
12/06/2023   03:37:56  AM|AUTO THEFT RECOVERY|1XX  WAOKANAKA PL|NUUANU|District 5
12/06/2023   02:15:08  AM|AUTO THEFT|9810XX  MOANALUA RD|AIEA|District 3
12/06/2023   00:28:23  AM|MISC PUB|OLOMEA ST / IAO LN|KALIHI|District 5
12/05/2023   19:02:49  PM|BURGLARY|8721XX  HELELUA PL|NANAKULI|District 8
