12/06/2023   16:10:43  PM|PARKING VIOLATION|13XX  HEULU ST|MAKIKI|District 1
12/06/2023   16:10:38  PM|NUISANCE COMPLAINT|20XX  KALIA RD|WAIKIKI|District 6
12/06/2023   16:10:08  PM|RUNAWAY|9104XX  PAPIPI RD|EWA BEACH|District 8
12/06/2023   16:07:47  PM|FOLLOW UP|22XX  KALAUNU ST|KALIHI|District 5
12/06/2023   16:07:42  PM|MVC|5XX  ALAKAWA ST|KALIHI|District 5
12/06/2023   15:50:26  PM|ICF/SCF|9401XX  WAIKELE RD|WAIPAHU|District 3
12/06/2023   15:49:19  PM|TRO INITIAL|46XX  KAPOLEI PKWY|KAPOLEI|District 8
12/06/2023   15:38:33  PM|FOLLOW UP|8509XX  MILL ST|WAIANAE|District 8
12/06/2023   15:32:30  PM|MVC VEH TOWED|KA UKA BLVD / MOANIANI ST|WAIPIO|District 3
12/06/2023   15:28:55  PM|MVC|H2N EXIT8 WAHIAWA|MILILANI|District 2
12/06/2023   15:24:51  PM|SIMPLE ASSAULT|5XX  N KING ST|KALIHI|District 5
12/06/2023   15:16:32  PM|AGGRAVATED ASSAULT|6701XX  KEALOHANUI ST|WAIALUA|District 2
12/06/2023   14:58:25  PM|MVC|4504XX  KANEOHE BAY DR|KANEOHE|District 4
12/06/2023   14:49:36  PM|MISC PUB|S KING ST / KEMOLE LN|MCCULLY|District 7
12/06/2023   14:28:53  PM|WARRANT ARREST|WAIPAHU ST / MALAKEKE ST|WAIPAHU|District 3
12/06/2023   14:06:22  PM|WARRANT ARREST|24XX  N NIMITZ HWY|AIRPORT|District 5
12/06/2023   13:53:35  PM|MISC PUB|8508XX  IMIPONO ST|WAIANAE|District 8
12/06/2023   13:17:48  PM|FOLLOW UP|46XX  KAPOLEI PKWY|KAPOLEI|District 8
12/06/2023   12:31:14  PM|WARRANT ARREST|6807XX  FARRINGTON HWY|WAIALUA|District 2
12/06/2023   11:16:48  AM|FOLLOW UP|12XX  MAHIOLE ST|MOANALUA V|District 5
