12/07/2023   00:20:55  AM|ARGUMENT|42XX  KEANU ST|WAIALAE|District 7
12/07/2023   00:17:42  AM|AGGRAVATED ASSAULT|5XX  DILLINGHAM BLVD|KALIHI|District 5
12/07/2023   00:14:46  AM|MISC PUB|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/07/2023   00:10:52  AM|SUSP PERSON|HOOHULU ST / KOMO MAI DR|PEARL CITY|District 3
12/06/2023   23:48:39  PM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
12/06/2023   23:38:24  PM|MISC CRIME OFFENSE|24XX  KALAKAUA AVE|WAIKIKI|District 6
12/06/2023   23:24:02  PM|MISC PUB|MOANALUA RD / HOOMALU ST|PEARL CITY|District 3
12/06/2023   23:10:29  PM|MISC PUB|KAM HWY / KA UKA BLVD|WAIPIO|District 3
12/06/2023   23:05:22  PM|SIMPLE ASSAULT|8701XX  HELELUA ST|NANAKULI|District 8
12/06/2023   22:58:58  PM|FAMILY OFF/NEG|9110XX  AKAI ST|EWA BEACH|District 8
12/06/2023   22:44:03  PM|MISC PUB|MOANALUA RD / PAA ST|MAPUNAPUNA|District 5
12/06/2023   22:40:21  PM|VEH TOWED|LIKELIKE HWY / GULICK AVE|KALIHI|District 5
12/06/2023   22:04:33  PM|MISC CRIME OFFENSE|12XX  ALA MOANA BLVD|ALA MOANA|District 1
12/06/2023   21:40:29  PM|FAMILY OFF/NEG|9212XX  PALAHIA ST|MAKAKILO|District 8
