12/08/2023   07:27:55  AM|PROPERTY DAMAGE|2XX  N KING ST|DOWNTOWN|District 1
12/08/2023   07:27:18  AM|NUISANCE COMPLAINT|26XX  S KING ST|MCCULLY|District 7
12/08/2023   07:25:53  AM|WEAPONS|9121XX  FORT WEAVER RD|EWA BEACH|District 8
12/08/2023   07:25:49  AM|NUISANCE COMPLAINT|24XX  S KING ST|MCCULLY|District 7
12/08/2023   07:23:27  AM|RUNAWAY|9110XX  KEAUNUI DR|EWA BEACH|District 8
12/08/2023   07:19:28  AM|MISC PUB|3XX  RODGERS BLVD|AIRPORT|District 5
12/08/2023   07:19:23  AM|PARKING VIOLATION|13XX  NANIALII ST|KAILUA|District 4
12/08/2023   07:18:53  AM|VEH TOWED|5905XX  KAM HWY|SUNSET|District 2
12/08/2023   07:18:09  AM|NUISANCE COMPLAINT|2XX  N KALAHEO AVE|KAILUA|District 4
12/08/2023   07:05:54  AM|VEH TOWED|11XX  BANYAN ST|KALIHI|District 5
12/08/2023   06:46:44  AM|FAMILY OFF/NEG|43XX  ORION DR|KALAELOA|District 8
12/08/2023   06:29:31  AM|AUTO THEFT|16XX  S BERETANIA ST|MCCULLY|District 7
12/08/2023   06:28:35  AM|WARRANT ARREST|XX  KANEOHE BAY DR|KAILUA|District 4
12/08/2023   06:25:18  AM|MISC PUB|49XX  KILAUEA AVE|WAIALAE|District 7
12/08/2023   06:18:58  AM|FAMILY OFF/NEG|43XX  WAIALAE AVE|KAHALA|District 7
