12/11/2023   21:58:29  PM|TRAFFIC STOP|WILIKINA DR / FUNSTON GATE RD|WAHIAWA|District 2
12/11/2023   21:57:34  PM|MISC SERVICE CALL|2XX  SARATOGA RD|WAIKIKI|District 6
12/11/2023   21:57:17  PM|PARKING VIOLATION|12XX  MOANALUALANI PL|MOANALUA V|District 5
12/11/2023   21:54:39  PM|ARGUMENT|16XX  N SCHOOL ST|KALIHI|District 5
12/11/2023   21:40:17  PM|SUSP CIRCUMSTANCE|35XX  WAIALAE AVE|KAIMUKI|District 7
12/11/2023   21:29:29  PM|MISC PUB|KUALAKAI PKWY / H1E FWY|MAKAKILO|District 8
12/11/2023   21:17:38  PM|MISC SERVICE CALL|ANALU ST / LILIHA ST|NUUANU|District 5
12/11/2023   21:15:28  PM|MISC PUB|KUALAKAI PKWY / KEAHUMOA PKWY|KAPOLEI|District 8
12/11/2023   20:38:03  PM|UNATTENDED DEATH|58XX  HALEOLA ST|AINA HAINA|District 7
12/11/2023   20:13:35  PM|DRUGS/NARCOTICS|S HOTEL ST / BETHEL ST|DOWNTOWN|District 1
12/11/2023   20:10:53  PM|FAMILY OFF/NEG|4506XX  UHILEHUA ST|KANEOHE|District 4
12/11/2023   20:05:59  PM|DUI|KAILUA RD / KAINEHE ST|KAILUA|District 4
12/11/2023   19:20:34  PM|DUI|LUMIAINA ST / PULELO ST|WAIPIO|District 3
12/11/2023   19:06:26  PM|MISC PUB|FARRINGTON HWY / KAHUALII ST|WAIPAHU|District 3
12/11/2023   18:45:54  PM|RUNAWAY CXL|RIVER ST / N HOTEL ST|DOWNTOWN|District 1
12/11/2023   17:53:45  PM|MISC PUB|OLOMEA ST / HOUGHTAILING ST|KALIHI|District 5
