12/13/2023   17:56:57  PM|TRESPASS|43XX  LAWEHANA ST|AIEA|District 3
12/13/2023   17:56:49  PM|PARKING VIOLATION|17XX  ELUA ST|KALIHI|District 5
12/13/2023   17:56:33  PM|MEDICAL ASSIST|19XX  KAHAKAI DR|ALA MOANA|District 1
12/13/2023   17:55:56  PM|AGGRAVATED ASSAULT|46XX  KAPOLEI PKWY|KAPOLEI|District 8
12/13/2023   17:53:52  PM|INDECENT EXPOSURE|12XX  S KING ST|HONOLULU|District 1
12/13/2023   17:50:15  PM|TRAFFIC COMPLAINT|60XX  PALI HWY|KAILUA|District 4
12/13/2023   17:48:09  PM|TRAFFIC COMPLAINT|51XX  PALI HWY|NUUANU|District 5
12/13/2023   17:44:10  PM|NUISANCE COMPLAINT|2XX  OHUA AVE|WAIKIKI|District 6
12/13/2023   17:31:35  PM|MVC|LUNALILO ONTO H1W|MAKIKI|District 1
12/13/2023   17:27:01  PM|FRAUD|16XX  LIHOLIHO ST|MAKIKI|District 1
12/13/2023   17:20:42  PM|MEDICAL ASSIST|4502XX  WAIKALUA RD|KANEOHE|District 4
12/13/2023   17:19:03  PM|PARKING VIOLATION|POOMAU ST / AHUIMANU RD|KANEOHE|District 4
12/13/2023   16:34:01  PM|MISC PUB|ALA NAPUNANI / MOANALUA RD|SALT LAKE|District 5
12/13/2023   14:15:52  PM|UNATTENDED DEATH|2XX  MOKAUEA ST|KALIHI|District 5
