12/16/2023   20:13:57  PM|TRAFFIC STOP|YOUNG ST / VICTORIA ST|HONOLULU|District 1
12/16/2023   20:09:32  PM|PARKING VIOLATION|OAHU AVE / KAAIPU AVE|MANOA|District 7
12/16/2023   20:07:54  PM|MISC SERVICE CALL|8500XX  FARRINGTON HWY|MAKAHA|District 8
12/16/2023   20:01:44  PM|TRAFFIC INCIDENT|9XX  12TH AVE|KAIMUKI|District 7
12/16/2023   20:01:26  PM|HARASSMENT|8XX  KAMOKILA BLVD|KAPOLEI|District 8
12/16/2023   19:53:15  PM|SIMPLE ASSAULT|13XX  PUNAHOU ST|MCCULLY|District 7
12/16/2023   19:53:04  PM|MVC|8XX  12TH AVE|KAIMUKI|District 7
12/16/2023   19:45:27  PM|NUISANCE COMPLAINT|10XX  AE ST|KAPOLEI|District 8
12/16/2023   19:38:00  PM|ORDER VIOLATION|9404XX  MULEHU ST|MILILANI|District 2
12/16/2023   19:30:08  PM|MISC SERVICE CALL|9110XX  NAMAHOE ST|KAPOLEI|District 8
12/16/2023   19:07:13  PM|DUI|4509XX  LIKELIKE HWY|KANEOHE|District 4
12/16/2023   18:46:03  PM|MISC PUB|FARRINGTON HWY / KUNIA RD|EWA BEACH|District 8
12/16/2023   18:38:11  PM|MVC VEH TOWED|FORT WEAVER RD / KOLOWAKA DR|EWA BEACH|District 8
12/16/2023   18:08:57  PM|MISC PUB|11XX  KALAUIPO PL|PEARL CITY|District 3
12/16/2023   14:16:01  PM|RECKLESS ENDANGERING|7XX  HOMOHANA RD|WAHIAWA|District 2
12/16/2023   13:22:10  PM|RAPE|XX  H1W FWY|KUNIA|District 8
