12/27/2023   06:41:05  AM|MISC CRIME OFFENSE|65XX  KALANIANAOLE HWY|HAWAII KAI|District 7
12/27/2023   06:38:24  AM|MVC|LEILANI ST / FERNANDEZ ST|KALIHI|District 5
12/27/2023   06:37:26  AM|MVC|9XX  VALKENBURGH ST|MOANALUA|District 5
12/27/2023   06:36:51  AM|NUISANCE COMPLAINT|10XX  S KING ST|HONOLULU|District 1
12/27/2023   06:34:53  AM|ALARM CALL|KUPAHU ST / NAUAHI ST|WAIALUA|District 2
12/27/2023   06:28:29  AM|LOST PROPERTY|4109XX  KAKAINA ST|WAIMANALO|District 4
12/27/2023   06:25:42  AM|TRAFFIC COMPLAINT|1XX  H1E FWY|PEARL CITY|District 3
12/27/2023   06:25:38  AM|VEH TOWED|WALINA ST / KUHIO AVE|WAIKIKI|District 6
12/27/2023   06:23:43  AM|MISC PUB|10XX  AUAHI ST|HONOLULU|District 1
12/27/2023   06:21:07  AM|MVC|32XX  N NIMITZ HWY|AIRPORT|District 5
12/27/2023   06:17:40  AM|FRAUD|20XX  HOOKAHUA ST|PEARL CITY|District 3
12/27/2023   06:16:30  AM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
12/27/2023   06:14:44  AM|VEH TOWED|4XX  KANEKAPOLEI ST|WAIKIKI|District 6
12/27/2023   06:13:54  AM|PROPERTY DAMAGE|8911XX  NANIAHIAHI PL|NANAKULI|District 8
12/27/2023   06:07:25  AM|ARGUMENT|8XX  S BERETANIA ST|HONOLULU|District 1
12/27/2023   06:03:09  AM|THEFT|8XX  S BERETANIA ST|HONOLULU|District 1
12/27/2023   05:30:37  AM|MVC|1XX  H1E FWY|PEARL CITY|District 3
12/27/2023   01:41:24  AM|BURGLARY|28XX  PAA ST|MAPUNAPUNA|District 5
12/26/2023   23:00:18  PM|SIMPLE ASSAULT|3XX  KALAIMOKU ST|WAIKIKI|District 6
