01/05/2024   06:13:17  AM|ARGUMENT FAMILY|9114XX  KEAHUMOA PKWY|EWA BEACH|District 8
01/05/2024   06:11:07  AM|BURGLARY|11XX  MIKOLE ST|KALIHI|District 5
01/05/2024   06:10:04  AM|PARKING VIOLATION|LIME ST / ISENBERG ST|MCCULLY|District 7
01/05/2024   06:03:42  AM|THEFT|17XX  ALA WAI BLVD|WAIKIKI|District 6
01/05/2024   06:01:21  AM|LOST PROPERTY|36XX  BETHSHAN RD|KAIMUKI|District 7
01/05/2024   05:57:50  AM|MVC|8XX  S BERETANIA ST|HONOLULU|District 1
01/05/2024   05:54:37  AM|MVC|10XX  S BERETANIA ST|HONOLULU|District 1
01/05/2024   05:54:03  AM|VEH TOWED|22XX  LIME ST|MCCULLY|District 7
01/05/2024   05:50:20  AM|MISC PUB|8XX  S BERETANIA ST|HONOLULU|District 1
01/05/2024   05:48:18  AM|UEMV|19XX  KAM IV RD|KALIHI|District 5
01/05/2024   05:39:44  AM|AUTO THEFT|4XX  ALAKAWA ST|KALIHI|District 5
