01/07/2024   04:12:15  AM|ARGUMENT FAMILY|9401XX  PUPUNOHE ST|WAIPAHU|District 3
01/07/2024   04:07:37  AM|WARRANT ARREST|15XX  DAVENPORT PL|MAKIKI|District 1
01/07/2024   04:03:16  AM|MISC SERVICE CALL|4401XX  KALENAKAI PL|KANEOHE|District 4
01/07/2024   03:44:42  AM|MEDICAL ASSIST|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/07/2024   03:41:37  AM|FOLLOW UP|9121XX  FORT WEAVER RD|EWA BEACH|District 8
01/07/2024   03:41:27  AM|SIMPLE ASSAULT|3XX  KALAIMOKU ST|WAIKIKI|District 6
01/07/2024   03:28:12  AM|MVC VEH TOWED|OLANI ST / ALIINUI DR|KAPOLEI|District 8
01/07/2024   03:19:04  AM|BURGLARY|9111XX  KEAUNUI DR|EWA BEACH|District 8
01/07/2024   01:48:25  AM|UNATTENDED DEATH|12XX  PUA LN|KALIHI|District 5
01/07/2024   00:48:57  AM|BURGLARY|1XX  COUNTRY CLUB RD|NUUANU|District 5
01/07/2024   00:35:14  AM|FOLLOW UP|8709XX  KULAUKU ST|MAILI|District 8
