01/07/2024   23:12:15  PM|SUSP VEH|3XX  PAOAKALANI AVE|WAIKIKI|District 6
01/07/2024   23:09:10  PM|UNATTENDED DEATH|2XX  S KING ST|DOWNTOWN|District 1
01/07/2024   23:07:59  PM|SUSP CIRCUMSTANCE|25XX  KAPIOLANI BLVD|MCCULLY|District 7
01/07/2024   23:04:54  PM|THREATENING|14XX  DILLINGHAM BLVD|KALIHI|District 5
01/07/2024   22:51:35  PM|AUTO THEFT|11XX  KAMOKILA BLVD|KAPOLEI|District 8
01/07/2024   22:49:07  PM|THREATENING|PUNCHBOWL ST / ALA MOANA BLVD|DOWNTOWN|District 1
01/07/2024   22:40:50  PM|LOST PROPERTY|31XX  WAIALAE AVE|KAIMUKI|District 7
01/07/2024   22:14:27  PM|MISC PUB|5XX  FARRINGTON HWY|KAPOLEI|District 8
01/07/2024   21:57:37  PM|BURGLARY|9410XX  ALELO ST|WAIPIO|District 3
01/07/2024   21:05:28  PM|TRESPASS WARN|13XX  PUNCHBOWL ST|HONOLULU|District 1
01/07/2024   19:26:27  PM|AUTO THEFT RECOVERY|CANE HAUL RD / WAIPIO POINT ACC RD|WAIPAHU|District 3
