01/12/2024   22:28:28  PM|LOUD PARTY|26XX  S KING ST|MCCULLY|District 7
01/12/2024   22:26:54  PM|MVC|9210XX  PALAHIA ST|MAKAKILO|District 8
01/12/2024   22:22:20  PM|TRAFFIC COMPLAINT|2XX  H1E FWY|KALIHI|District 5
01/12/2024   22:17:13  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
01/12/2024   22:16:08  PM|NUISANCE COMPLAINT|5104XX  HAAHAA ST|KAAAWA|District 4
01/12/2024   22:14:09  PM|NOISE COMPLAINT|35XX  LEAHI AVE|WAIKIKI|District 6
01/12/2024   22:08:37  PM|AUTO THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
01/12/2024   22:07:17  PM|THEFT|23XX  KALAKAUA AVE|WAIKIKI|District 6
01/12/2024   21:33:52  PM|MISC PUB|9813XX  AKAAKA ST|AIEA|District 3
01/12/2024   21:03:34  PM|FOLLOW UP|KUHIO AVE / WALINA ST|WAIKIKI|District 6
01/12/2024   20:45:00  PM|FOLLOW UP|8600XX  FARRINGTON HWY|WAIANAE|District 8
01/12/2024   20:34:39  PM|FOLLOW UP|9105XX  PUAMAEOLE ST|EWA BEACH|District 8
01/12/2024   20:27:15  PM|FOLLOW UP|7XX  KAKALA ST|KAPOLEI|District 8
01/12/2024   18:41:01  PM|UNATTENDED DEATH|5XX  QUEEN ST|HONOLULU|District 1
01/12/2024   18:40:09  PM|AUTO THEFT RECOVERY|14XX  HOLELUA PL|KALIHI|District 5
01/12/2024   18:18:12  PM|AUTO THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
