01/17/2024   13:13:25  PM|SUSP PERSON|9411XX  KAHUANUI ST|WAIPAHU|District 3
01/17/2024   13:11:05  PM|MISC SERVICE CALL|7XX  KEEAUMOKU ST|HONOLULU|District 1
01/17/2024   13:10:15  PM|PARKING VIOLATION|21XX  ALGAROBA ST|MCCULLY|District 7
01/17/2024   13:10:14  PM|MEDICAL ASSIST|11XX  ALA NAPUNANI|SALT LAKE|District 5
01/17/2024   13:09:13  PM|NUISANCE COMPLAINT|KAM HWY / JOSEPH P LEONG HWY|HALEIWA|District 2
01/17/2024   13:07:49  PM|THEFT|22XX  KUHIO AVE|WAIKIKI|District 6
01/17/2024   13:07:18  PM|MISC SERVICE CALL|4702XX  IUIU ST|KANEOHE|District 4
01/17/2024   13:04:41  PM|THEFT|16XX  N SCHOOL ST|KALIHI|District 5
01/17/2024   13:00:12  PM|TRAFFIC COMPLAINT|MAILIILI RD / PAAKEA RD|WAIANAE|District 8
01/17/2024   12:56:40  PM|FOLLOW UP|2XX  AINAHOU ST|HAWAII KAI|District 7
01/17/2024   12:53:49  PM|WARRANT ARREST|XX  LAKEVIEW CIR|WAHIAWA|District 2
01/17/2024   12:49:39  PM|AUTO THEFT|11XX  LUNAHANELI PL|KAILUA|District 4
01/17/2024   12:48:13  PM|THEFT|33XX  DIAMOND HEAD RD|KAHALA|District 7
01/17/2024   12:46:33  PM|THEFT|3XX  KULIOUOU RD|AINA HAINA|District 7
01/17/2024   12:40:17  PM|MISC SERVICE CALL|26XX  KILIHAU ST|MAPUNAPUNA|District 5
01/17/2024   12:39:19  PM|PROPERTY DAMAGE|4100XX  ALOILOI ST|WAIMANALO|District 4
01/17/2024   12:37:30  PM|RUNAWAY CXL|8502XX  FARRINGTON HWY|WAIANAE|District 8
01/17/2024   12:32:15  PM|THEFT|48XX  ELIMA WAY|IROQUOIS|District 8
01/17/2024   12:27:40  PM|MISC PUB|4105XX  POALIMA ST|WAIMANALO|District 4
01/17/2024   12:26:30  PM|MISC PUB|LANIPO DR / MOKULUA DR|KAILUA|District 4
01/17/2024   12:25:39  PM|NUISANCE COMPLAINT|5900XX  KAM HWY|SUNSET|District 2
01/17/2024   12:24:14  PM|MISC PUB|8716XX  FARRINGTON HWY|NANAKULI|District 8
01/17/2024   12:22:23  PM|ICF/SCF|X MOANALUA RDG|MOANALUA|District 5
01/17/2024   12:13:41  PM|FAMILY OFF/NEG|12XX  NUUANU AVE|DOWNTOWN|District 1
01/17/2024   12:08:34  PM|LOST PROPERTY|24XX  KAPIOLANI BLVD|MCCULLY|District 7
01/17/2024   12:00:15  PM|MISC PUB|1XX  HIKINA CT|HELEMANO|District 2
01/17/2024   11:35:22  AM|THREATENING|6204XX  KAM HWY|HALEIWA|District 2
01/17/2024   11:32:02  AM|LIC PLATE THEFT CXL|3XX  S KING ST|DOWNTOWN|District 1
01/17/2024   11:08:05  AM|FRAUD|35XX  WAAKAUA ST|MANOA|District 7
01/17/2024   10:36:11  AM|MVC|FARRINGTON HWY / MAILIILI RD|WAIANAE|District 8
01/17/2024   10:01:47  AM|RAPE|15XX  CALIFORNIA AVE|WAHIAWA|District 2
01/17/2024   09:37:43  AM|WARRANT ARREST|53XX  LIKINI ST|SALT LAKE|District 5
01/17/2024   09:34:18  AM|FOLLOW UP|4XX  ENA RD|WAIKIKI|District 6
01/17/2024   08:18:31  AM|AGGRAVATED ASSAULT|N NIMITZ HWY / SAND ISLAND ACC RD|KALIHI|District 5
01/17/2024   07:21:48  AM|ROBBERY|LUSITANA ST / HUALI ST|PUNCHBOWL|District 1
