01/17/2024   17:41:50  PM|STALLED/HAZARD VEH|KALANIANAOLE HWY / KAPAA QUARRY RD|KAILUA|District 4
01/17/2024   17:41:07  PM|FOLLOW UP|1XX  S KAM HWY|WAHIAWA|District 2
01/17/2024   17:39:25  PM|MISC SERVICE CALL|9812XX  KAONOHI ST|AIEA|District 3
01/17/2024   17:39:00  PM|MISC SERVICE CALL|17XX  KITTYHAWK ST|KALAELOA|District 8
01/17/2024   17:38:09  PM|MISC PUB|9401XX  AWALAU ST|WAIPAHU|District 3
01/17/2024   17:37:14  PM|MISC SERVICE CALL|8XX  IWILEI RD|KALIHI|District 5
01/17/2024   17:36:13  PM|TRAFFIC COMPLAINT|XX  H1W FWY|WAIPAHU|District 3
01/17/2024   17:32:54  PM|MVC|11XX  ACACIA RD|PEARL CITY|District 3
01/17/2024   17:30:06  PM|MVC|9505XX  LANIKUHANA AVE|MILILANI|District 2
01/17/2024   17:28:03  PM|THEFT|9802XX  PALI MOMI ST|AIEA|District 3
01/17/2024   17:23:11  PM|PARKING VIOLATION|9407XX  KUHAULUA PL|WAIPAHU|District 3
01/17/2024   17:16:19  PM|THEFT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
01/17/2024   17:14:04  PM|ARGUMENT|9105XX  KUILIOLOA PL|EWA BEACH|District 8
01/17/2024   17:13:40  PM|SIMPLE ASSAULT|9411XX  AWALAI ST|WAIPAHU|District 3
01/17/2024   17:13:33  PM|PARKING VIOLATION|24XX  KALAKAUA AVE|WAIKIKI|District 6
01/17/2024   17:06:34  PM|UEMV|9211XX  ALIINUI DR|KAPOLEI|District 8
01/17/2024   17:00:14  PM|MEDICAL ASSIST|14XX  PAINA ST|KALIHI|District 5
01/17/2024   16:59:43  PM|SUSP CIRCUMSTANCE|1XX  WILIKINA DR|WAHIAWA|District 2
01/17/2024   16:52:17  PM|MISC PUB|1XX  NIUIKI CIR|AINA HAINA|District 7
01/17/2024   16:14:00  PM|FOLLOW UP|XX  LAKEVIEW CIR|WAHIAWA|District 2
01/17/2024   16:13:23  PM|MISC PUB|XX  ILIAHI ST|NUUANU|District 5
01/17/2024   15:48:28  PM|LIC PLATE THEFT|9103XX  PAPIPI RD|EWA BEACH|District 8
01/17/2024   15:30:36  PM|VEH TOWED|9404XX  FARRINGTON HWY|WAIPAHU|District 3
01/17/2024   15:01:54  PM|FOLLOW UP|23XX  KALAKAUA AVE|WAIKIKI|District 6
01/17/2024   14:53:51  PM|MISC SERVICE CALL|HONOMANU ST / MOANALUA RD|AIEA|District 3
01/17/2024   14:51:42  PM|MVC VEH TOWED|KALIHI ST / HART ST|KALIHI|District 5
01/17/2024   14:33:53  PM|MISC CRIME OFFENSE|8601XX  FARRINGTON HWY|WAIANAE|District 8
01/17/2024   10:36:11  AM|MVC|FARRINGTON HWY / MAILIILI RD|WAIANAE|District 8
01/17/2024   10:01:47  AM|RAPE|15XX  CALIFORNIA AVE|WAHIAWA|District 2
01/17/2024   08:18:31  AM|AGGRAVATED ASSAULT|N NIMITZ HWY / SAND ISLAND ACC RD|KALIHI|District 5
