01/21/2024   03:58:15  AM|VEH TOWED|KAWAIAHAO ST / COOKE ST|HONOLULU|District 1
01/21/2024   03:47:41  AM|SUSP CIRCUMSTANCE|49XX  EONO WAY|IROQUOIS|District 8
01/21/2024   03:46:41  AM|ALARM CALL|9901XX  AIEA HTS DR|AIEA|District 3
01/21/2024   03:44:52  AM|UEMV|42XX  LAWEHANA ST|AIEA|District 3
01/21/2024   03:28:03  AM|BURGLARY|9407XX  LUMIAINA ST|WAIPIO|District 3
01/21/2024   03:16:24  AM|SIMPLE ASSAULT|6XX  ULUKAHIKI ST|KAILUA|District 4
01/21/2024   02:50:13  AM|FOLLOW UP|8508XX  PILIUKA PL|WAIANAE|District 8
01/21/2024   02:48:25  AM|MISC PUB|9803XX  PONO ST|AIEA|District 3
01/21/2024   01:15:00  AM|FAMILY OFF/NEG|35XX  SALT LAKE BLVD|ALIAMANU|District 5
01/21/2024   01:05:24  AM|AUTO THEFT|11XX  17TH AVE|KAIMUKI|District 7
01/21/2024   00:58:01  AM|AUTO THEFT RECOVERY|11XX  PUA LN|KALIHI|District 5
01/20/2024   23:09:20  PM|HOMICIDE|8601XX  FARRINGTON HWY|WAIANAE|District 8
