01/21/2024   21:42:10  PM|MVC VEH TOWED|XX  H1E FWY|WAIPAHU|District 3
01/21/2024   21:36:38  PM|VEH TOWED|MAUNAKEA ST / N NIMITZ HWY|DOWNTOWN|District 1
01/21/2024   21:32:55  PM|MISC SERVICE CALL|13XX  PUNAHOU ST|MCCULLY|District 7
01/21/2024   21:30:36  PM|BURGLARY|9506XX  ALOHILANI ST|MILILANI|District 2
01/21/2024   21:29:39  PM|PROPERTY DAMAGE|3XX  PALM ST|WAHIAWA|District 2
01/21/2024   21:29:34  PM|ARGUMENT|6806XX  FARRINGTON HWY|WAIALUA|District 2
01/21/2024   21:25:40  PM|FOLLOW UP|1XX  MANGO ST|WAHIAWA|District 2
01/21/2024   21:23:47  PM|MISC SERVICE CALL|6XX  AHUA ST|MAPUNAPUNA|District 5
01/21/2024   19:35:10  PM|WARRANT ARREST|9103XX  FORT WEAVER RD|EWA BEACH|District 8
01/21/2024   19:23:22  PM|MISC SERVICE CALL|10XX  KAPAHULU AVE|KAIMUKI|District 7
01/21/2024   18:40:05  PM|MISC PUB|8602XX  FARRINGTON HWY|WAIANAE|District 8
01/21/2024   15:36:54  PM|MISC PUB|19XX  KAHAKAI DR|ALA MOANA|District 1
