01/24/2024   23:57:32  PM|ARGUMENT|8502XX  ALA HEMA ST|WAIANAE|District 8
01/24/2024   23:53:31  PM|NUISANCE COMPLAINT|27XX  KAAIPU AVE|MANOA|District 7
01/24/2024   23:48:43  PM|PROPERTY DAMAGE|4XX  KALEIMAMAHU ST|HAWAII KAI|District 7
01/24/2024   23:46:46  PM|ALARM CALL|3XX  KUULEI RD|KAILUA|District 4
01/24/2024   23:45:50  PM|TRESPASS WARN|9403XX  PUPUPANI ST|WAIPAHU|District 3
01/24/2024   23:45:33  PM|SUSP PERSON|N KALAHEO AVE / LORANGE PL|KAILUA|District 4
01/24/2024   23:44:35  PM|AUTO THEFT RECOVERY|13XX  MAKIKI ST|HONOLULU|District 1
01/24/2024   23:32:46  PM|UEMV|AHANA ST / LIONA ST|HONOLULU|District 1
01/24/2024   23:29:45  PM|WARRANT ARREST|AALA ST / AALA PL|DOWNTOWN|District 1
01/24/2024   23:13:54  PM|THREATENING|9404XX  MOKUOLA ST|WAIPAHU|District 3
01/24/2024   23:06:20  PM|NOISE COMPLAINT|AALA PL / AALA ST|DOWNTOWN|District 1
01/24/2024   22:58:35  PM|MISC PUB|5603XX  LELEULI ST|KAHUKU|District 4
01/24/2024   22:37:58  PM|DUI|KAM HWY / KULEANA RD|PEARL CITY|District 3
01/24/2024   22:22:36  PM|DUI|1XX  E MOANALUA FWY|AIEA|District 3
01/24/2024   22:01:44  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
01/24/2024   16:46:22  PM|THREATENING|9XX  KAPAAKEA LN|MCCULLY|District 7
