01/25/2024   18:14:01  PM|PARKING VIOLATION|2XX  KAIULANI AVE|WAIKIKI|District 6
01/25/2024   18:10:28  PM|MISC PUB|13XX  PUNAHOU ST|MCCULLY|District 7
01/25/2024   18:10:14  PM|UEMV|82XX  KALANIANAOLE HWY|HAWAII KAI|District 7
01/25/2024   18:09:31  PM|FAMILY OFF/NEG|11XX  WILDER AVE|MAKIKI|District 1
01/25/2024   18:08:38  PM|FIREWORKS VIOLATION|53XX  LIKINI ST|SALT LAKE|District 5
01/25/2024   18:02:19  PM|SUSP CIRCUMSTANCE|9209XX  MAKAKILO DR|MAKAKILO|District 8
01/25/2024   18:01:58  PM|ORDER VIOLATION|23XX  KAPIOLANI BLVD|MCCULLY|District 7
01/25/2024   17:57:48  PM|THEFT|15XX  ULUPUNI ST|KAILUA|District 4
01/25/2024   17:57:25  PM|MISC SERVICE CALL|12XX  KAWELOKA ST|PEARL CITY|District 3
01/25/2024   17:45:48  PM|LOST PROPERTY|5502XX  KAM HWY|LAIE|District 4
01/25/2024   17:41:59  PM|MISC SERVICE CALL|H3E W HARANO TUNNEL|AIEA|District 3
01/25/2024   17:38:03  PM|UEMV|36XX  CRATER RD|KAIMUKI|District 7
01/25/2024   17:27:37  PM|MISC PUB|7XX  11TH AVE|KAIMUKI|District 7
01/25/2024   17:03:44  PM|UNATTENDED DEATH|9110XX  OANIANI ST|KAPOLEI|District 8
01/25/2024   15:58:22  PM|WARRANT ARREST|FORT ST / S KUKUI ST|DOWNTOWN|District 1
01/25/2024   14:33:48  PM|FAMILY OFF/NEG|8909XX  NANAKULI AVE|NANAKULI|District 8
01/25/2024   12:52:40  PM|ROBBERY|9109XX  NORTH RD|EWA BEACH|District 8
01/25/2024   12:50:44  PM|AUTO THEFT RECOVERY|5XX  SAND ISLAND PKWY|KALIHI|District 5
01/25/2024   12:13:34  PM|MISC PUB|13XX  PUNAHOU ST|MCCULLY|District 7
