01/27/2024   19:40:49  PM|ARGUMENT|1XX  AIKAPA PL|KAILUA|District 4
01/27/2024   19:38:09  PM|PARKING VIOLATION|6XX  NALANUI ST|NUUANU|District 5
01/27/2024   19:35:21  PM|VEH TOWED|38XX  LEAHI AVE|WAIKIKI|District 6
01/27/2024   19:34:34  PM|VEH TOWED|KAONOHI ST / MOANALUA RD|AIEA|District 3
01/27/2024   19:34:16  PM|FAMILY OFF/NEG|20XX  AKAIKAI LOOP|PEARL CITY|District 3
01/27/2024   19:28:26  PM|FIREWORKS VIOLATION|18XX  HOOKUPA ST|PEARL CITY|District 3
01/27/2024   19:23:51  PM|VEH TOWED|LIKELIKE HWY / KAM IV RD|KALIHI|District 5
01/27/2024   19:14:44  PM|MVC VEH TOWED|9110XX  KALEHUNA ST|KAPOLEI|District 8
01/27/2024   19:08:01  PM|DEFIB CALL|9406XX  KEHELA ST|WAIPAHU|District 3
01/27/2024   18:37:46  PM|FAMILY OFF/NEG|36XX  KILAUEA AVE|KAHALA|District 7
01/27/2024   18:36:11  PM|MISC PUB|35XX  ALOHEA AVE|KAHALA|District 7
01/27/2024   18:35:13  PM|MISC PUB|4XX  KUWILI ST|KALIHI|District 5
01/27/2024   18:02:58  PM|WARRANT ARREST|11XX  DILLINGHAM BLVD|KALIHI|District 5
01/27/2024   05:18:02  AM|MISC PUB|13XX  PUNAHOU ST|MCCULLY|District 7
