02/11/2024   03:44:05  AM|PROPERTY DAMAGE|10XX  KAPAHULU AVE|KAIMUKI|District 7
02/11/2024   03:42:01  AM|HAZARDOUS DRIVER|KAM HWY / MAMAO ST|SUNSET|District 2
02/11/2024   03:18:59  AM|FAMILY OFF/NEG|9814XX  KAAHUMANU ST|AIEA|District 3
02/11/2024   03:01:43  AM|ICF/SCF|EMERSON ST / PROSPECT ST|PUNCHBOWL|District 1
02/11/2024   02:57:45  AM|ICF/SCF|9117XX  KUPELEKO PL|EWA BEACH|District 8
02/11/2024   02:51:57  AM|MISC PUB|SALT LAKE BLVD / ARIZONA RD|SALT LAKE|District 5
02/11/2024   02:42:32  AM|WARRANT ARREST|12XX  S BERETANIA ST|HONOLULU|District 1
02/11/2024   01:29:08  AM|AUTO THEFT|2XX  OHUA AVE|WAIKIKI|District 6
02/11/2024   01:08:28  AM|FAMILY OFF/NEG|9101XX  EWA BEACH RD|EWA BEACH|District 8
02/11/2024   00:48:34  AM|FAMILY OFF/NEG|KAPOLEI PKWY / KUALAKAI PKWY|KAPOLEI|District 8
02/11/2024   00:20:38  AM|DISORDERLY CONDUCT|9401XX  PUPUKAHI ST|WAIPAHU|District 3
02/10/2024   23:10:07  PM|TRESPASS|3XX  KAPAHULU AVE|WAIKIKI|District 6
02/10/2024   22:46:51  PM|UNATTENDED DEATH|9817XX  NAHELE ST|AIEA|District 3
02/10/2024   18:44:00  PM|VEH TOWED|21XX  KALENA DR|KALIHI|District 5
