02/16/2024   23:09:29  PM|TRESPASS WARN|9407XX  MEHEULA PKWY|MILILANI|District 2
02/16/2024   23:09:04  PM|NOISE COMPLAINT|4604XX  KAM HWY|KANEOHE|District 4
02/16/2024   22:37:32  PM|THEFT|11XX  21ST AVE|KAIMUKI|District 7
02/16/2024   22:36:36  PM|DUI|9406XX  KIME ST|WAIPAHU|District 3
02/16/2024   22:34:56  PM|MISC CRIME OFFENSE|35XX  LEAHI AVE|WAIKIKI|District 6
02/16/2024   22:32:34  PM|DRUGS/NARCOTICS|6XX  KAPAHULU AVE|KAIMUKI|District 7
02/16/2024   22:21:47  PM|RECKLESS ENDANGERING|5XX  N KUAKINI ST|NUUANU|District 5
02/16/2024   21:31:56  PM|ALARM CALL|6XX  ULUMALU ST|KAILUA|District 4
02/16/2024   21:23:34  PM|DUI|31XX  PUALEI CIR|WAIKIKI|District 6
02/16/2024   21:04:18  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
02/16/2024   20:23:11  PM|ICF/SCF|8910XX  NANAKULI AVE|NANAKULI|District 8
02/16/2024   19:26:18  PM|ORDER VIOLATION|5500XX  NAUPAKA ST|LAIE|District 4
02/16/2024   18:17:36  PM|FAMILY OFF/NEG|9406XX  LUMIAUAU ST|WAIPIO|District 3
