02/21/2024   19:10:10  PM|SUSP CIRCUMSTANCE|5801XX  NAPOONALA PL|SUNSET|District 2
02/21/2024   19:08:16  PM|MISC PUB|9XX  CRATER PL|KAIMUKI|District 7
02/21/2024   19:06:54  PM|MISC PUB|16XX  ALA MOANA BLVD|ALA MOANA|District 1
02/21/2024   19:06:49  PM|SIMPLE ASSAULT|24XX  KUHIO AVE|WAIKIKI|District 6
02/21/2024   19:05:08  PM|MISC SERVICE CALL|9411XX  KAHUAHALE ST|WAIPAHU|District 3
02/21/2024   19:02:46  PM|VEH TOWED|4505XX  KAM HWY|KANEOHE|District 4
02/21/2024   19:02:09  PM|DISORDERLY CONDUCT|15XX  PENSACOLA ST|MAKIKI|District 1
02/21/2024   19:00:52  PM|SIMPLE ASSAULT|9408XX  HIKIMOE ST|WAIPAHU|District 3
02/21/2024   18:54:38  PM|MVC|WARD AVE / LUNALILO ST|PUNCHBOWL|District 1
02/21/2024   18:54:08  PM|SEX ASSAULT|9XX  PUU KULA DR|PEARL CITY|District 3
02/21/2024   18:46:55  PM|UNATTENDED DEATH|10XX  KAPIOLANI BLVD|HONOLULU|District 1
02/21/2024   18:34:24  PM|NUISANCE COMPLAINT|3XX  KALIHI ST|KALIHI|District 5
02/21/2024   17:51:13  PM|UNATTENDED DEATH|9108XX  POHAKUPUNA RD|EWA BEACH|District 8
02/21/2024   17:39:51  PM|MISC SERVICE CALL|24XX  ALA WAI BLVD|WAIKIKI|District 6
02/21/2024   17:14:24  PM|THEFT|47XX  BOUGAINVILLE DR|MOANALUA|District 5
02/21/2024   14:47:29  PM|WARRANT ARREST|1XX  KAIULANI AVE|WAIKIKI|District 6
02/21/2024   11:53:35  AM|AUTO THEFT RECOVERY|9110XX  KAIAU AVE|KAPOLEI|District 8
02/20/2024   20:12:55  PM|FOLLOW UP|9906XX  HALAWA DR|AIEA|District 3
