02/27/2024   19:58:10  PM|NUISANCE COMPLAINT|32XX  WAIALAE AVE|KAIMUKI|District 7
02/27/2024   19:56:55  PM|DEFIB CALL|26XX  PACIFIC HTS RD|PUNCHBOWL|District 1
02/27/2024   19:54:45  PM|MISC SERVICE CALL|10XX  RIVER ST|DOWNTOWN|District 1
02/27/2024   19:48:03  PM|MISC SERVICE CALL|9410XX  HALEKAPIO ST|WAIPAHU|District 3
02/27/2024   19:44:21  PM|UNATTENDED DEATH|10XX  KAM HWY|PEARL CITY|District 3
02/27/2024   19:26:36  PM|THREATENING|9411XX  ELEU ST|WAIPAHU|District 3
02/27/2024   19:20:48  PM|ARGUMENT FAMILY|47XX  W ELUA WAY|IROQUOIS|District 8
02/27/2024   19:17:36  PM|TRESPASS WARN|8508XX  FARRINGTON HWY|WAIANAE|District 8
02/27/2024   19:13:11  PM|FOLLOW UP|9810XX  MOANALUA RD|AIEA|District 3
02/27/2024   19:06:00  PM|PARKING VIOLATION|17XX  EMA PL|KALIHI|District 5
02/27/2024   19:01:54  PM|MISC PUB|PUNCHBOWL ST / S VINEYARD BLVD|DOWNTOWN|District 1
