02/28/2024   07:28:35  AM|FIRE CALL|16XX  OLONA LN|NUUANU|District 5
02/28/2024   07:24:35  AM|THEFT|25XX  MAKIKI HTS DR|MAKIKI|District 1
02/28/2024   07:24:35  AM|COUNTERFEIT/FORGERY|10XX  KEOLU DR|KAILUA|District 4
02/28/2024   07:20:26  AM|NUISANCE COMPLAINT|14XX  ALA MOANA BLVD|ALA MOANA|District 1
02/28/2024   07:17:38  AM|MISC SERVICE CALL|68XX  CORMORANT AVE|IROQUOIS|District 8
02/28/2024   07:03:45  AM|THEFT|27XX  KAHOALOHA LN|MCCULLY|District 7
02/28/2024   07:02:51  AM|VEH TOWED|7XX  KAPIOLANI BLVD|HONOLULU|District 1
02/28/2024   06:54:19  AM|VEH TOWED|23XX  METCALF ST|MANOA|District 7
02/28/2024   06:53:21  AM|PROPERTY DAMAGE|9510XX  MEHEULA PKWY|MILILANI|District 2
02/28/2024   06:51:30  AM|NUISANCE COMPLAINT|9XX  S BERETANIA ST|HONOLULU|District 1
02/28/2024   06:29:23  AM|HARASSMENT|9111XX  KEAUNUI DR|EWA BEACH|District 8
02/28/2024   06:28:03  AM|THEFT|9110XX  KEKUILANI LOOP|KAPOLEI|District 8
02/28/2024   06:26:52  AM|THEFT|6XX  ILALO ST|KAKAAKO|District 1
02/28/2024   06:20:47  AM|THEFT|9XX  KAM HWY|PEARL CITY|District 3
02/28/2024   06:16:20  AM|DRUGS/NARCOTICS|13XX  WAIMANO HOME RD|PEARL CITY|District 3
