02/28/2024   21:12:50  PM|NUISANCE COMPLAINT|4507XX  KAM HWY|KANEOHE|District 4
02/28/2024   21:11:38  PM|STALLED/HAZARD VEH|HALAWA HTS RD / KAHUAPAANI ST|AIEA|District 3
02/28/2024   21:09:30  PM|DRUGS/NARCOTICS|WAIPAHU ST / IKEPONO ST|WAIPAHU|District 3
02/28/2024   21:04:33  PM|THEFT|7XX  KAKALA ST|KAPOLEI|District 8
02/28/2024   21:02:51  PM|PARKING VIOLATION|9110XX  KUIPUAKUKUI ST|KAPOLEI|District 8
02/28/2024   21:01:51  PM|VEH TOWED|3XX  WAI NANI WAY|WAIKIKI|District 6
02/28/2024   20:59:11  PM|VEH TOWED|MAPUNAPUNA ST / MOKUMOA ST|MAPUNAPUNA|District 5
02/28/2024   20:57:07  PM|ARGUMENT FAMILY|22XX  ANIANIKU ST|PUNCHBOWL|District 1
02/28/2024   20:48:55  PM|FOLLOW UP|8XX  S BERETANIA ST|HONOLULU|District 1
02/28/2024   20:37:08  PM|MISC PUB|22XX  KALAKAUA AVE|WAIKIKI|District 6
02/28/2024   19:27:06  PM|STALLED/HAZARD VEH|2XX  H1W FWY|KALIHI|District 5
02/28/2024   18:27:45  PM|WARRANT ARREST|9100XX  FORT WEAVER RD|EWA BEACH|District 8
